instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
76,0.022,0.008868,0.034255,0.0121079999999999,0.005929,0.005858,0.005854,0.007641
77,0.022,0.008851,0.034794,0.012034,0.005929,0.005878,0.006059,0.007734
78,0.018,0.009337,0.034433,0.012071,0.00592,0.005765,0.005943,0.007704
79,0.023,0.009364,0.034364,0.0120469999999999,0.005758,0.005833,0.005936,0.007726
80,0.017,0.009104,0.034755,0.015512,0.00581,0.005821,0.005955,0.007727
81,0.023,0.00948,0.034885,0.0123659999999999,0.0058,0.005874,0.005981,0.007735
82,0.018,0.00986,0.035313,0.012071,0.006001,0.005869,0.005987,0.007713
83,0.023,0.009363,0.035489,0.012114,0.005845,0.00588,0.005995,0.007793
84,0.023,0.0095,0.035402,0.012139,0.005952,0.005946,0.005959,0.007839
85,0.018,0.009518,0.035413,0.012189,0.006058,0.005956,0.005869,0.007803
86,0.015,0.00963,0.035609,0.012282,0.005943,0.006014,0.005882,0.007869
87,0.016,0.009669,0.036323,0.012258,0.005889,0.005867,0.005873,0.007771
88,0.024,0.010267,0.035924,0.012402,0.005895,0.005923,0.005968,0.007793
89,0.018,0.011181,0.036313,0.012425,0.005842,0.005872,0.005878,0.007865
90,0.025,0.010078,0.036223,0.012242,0.005903,0.00591,0.005885,0.007866
91,0.019,0.010008,0.036342,0.012259,0.005947,0.005962,0.005974,0.007822
92,0.016,0.01002,0.036563,0.012316,0.005944,0.00591,0.005937,0.007862
93,0.024,0.010147,0.036691,0.012398,0.005938,0.005881,0.005917,0.00783
94,0.019,0.010308,0.036754,0.012516,0.005972,0.005961,0.006046,0.007863
95,0.016,0.010217,0.0366,0.012451,0.005954,0.005971,0.005971,0.007825
96,0.016,0.010534,0.036942,0.012421,0.006172,0.005988,0.005973,0.007815
97,0.017,0.010463,0.037058,0.012498,0.005905,0.005981,0.005937,0.007908
98,0.016,0.010966,0.037341,0.012313,0.005871,0.00591,0.005921,0.007899
99,0.025,0.01058,0.037364,0.01266,0.005879,0.005902,0.005908,0.007864
100,0.019,0.010678,0.03772,0.012661,0.005983,0.005906,0.00592,0.007954
101,0.025,0.011202,0.038826,0.012504,0.006041,0.005927,0.005953,0.007908
102,0.026,0.010972,0.03823,0.012511,0.006023,0.00594,0.00594,0.008
103,0.026,0.010986,0.037908,0.012553,0.005954,0.005918,0.006006,0.007947
104,0.018,0.011271,0.038336,0.01266,0.006048,0.005952,0.005955,0.007902
105,0.026,0.011079,0.038355,0.012901,0.006029,0.006021,0.005958,0.007924
106,0.026,0.011501,0.038364,0.0126169999999999,0.005957,0.005922,0.005941,0.008
107,0.02,0.011129,0.03897,0.012704,0.005977,0.005978,0.005957,0.007967
108,0.018,0.01164,0.039032,0.012896,0.005957,0.006022,0.005957,0.007972
109,0.017,0.011417,0.03894,0.012674,0.006111,0.006087,0.006133,0.007994
110,0.022,0.011556,0.038826,0.012736,0.006229,0.006009,0.006109,0.008038
111,0.026,0.011902,0.039433,0.012891,0.006088,0.006017,0.006114,0.008123
112,0.027,0.011952,0.039526,0.013047,0.006058,0.006065,0.006068,0.008142
113,0.018,0.011848,0.039589,0.0129859999999999,0.00616,0.005781,0.006071,0.00818
114,0.027,0.011814,0.039619,0.012844,0.005937,0.005897,0.005936,0.008212
115,0.018,0.012121,0.039707,0.012905,0.005789,0.005715,0.005988,0.00815
116,0.027,0.012099,0.039816,0.012941,0.005685,0.0057,0.005677,0.008046
117,0.027,0.012405,0.039801,0.012988,0.005735,0.005762,0.005855,0.008049
118,0.027,0.012614,0.04007,0.0128709999999999,0.005738,0.00578,0.00591,0.008014
119,0.018,0.012531,0.040384,0.013079,0.00574,0.005733,0.005772,0.008069
120,0.027,0.012345,0.040673,0.01306,0.006127,0.005755,0.006214,0.008286
121,0.019,0.012276,0.04075,0.0129769999999999,0.006149,0.006106,0.006193,0.008088
122,0.019,0.01246,0.04054,0.013159,0.006081,0.006053,0.006233,0.008182
123,0.019,0.012505,0.04135,0.013099,0.0061,0.006066,0.006134,0.008246
124,0.028,0.012874,0.040916,0.013021,0.006175,0.006194,0.006139,0.008263
125,0.019,0.012599,0.041151,0.013156,0.006147,0.006087,0.006123,0.008297
126,0.019,0.013923,0.041315,0.013162,0.006122,0.00606,0.006128,0.008369
127,0.019,0.012727,0.04146,0.0130759999999999,0.006292,0.006248,0.006322,0.008104
128,0.028,0.013299,0.041674,0.016824,0.00628,0.006212,0.006229,0.008121
129,0.029,0.013102,0.041619,0.013307,0.006182,0.006336,0.006233,0.008099
130,0.019,0.01315,0.042216,0.013516,0.006235,0.006202,0.006156,0.008159
131,0.02,0.013073,0.042057,0.0135319999999999,0.006168,0.006178,0.006169,0.008115
132,0.029,0.013327,0.042223,0.013322,0.006298,0.006195,0.006187,0.008198
133,0.02,0.013325,0.042362,0.01338,0.005926,0.006337,0.005857,0.00824
134,0.02,0.013577,0.042439,0.013427,0.006192,0.005874,0.006191,0.008277
135,0.018,0.013576,0.042329,0.013554,0.006241,0.005786,0.006298,0.008287
136,0.018,0.01392,0.042869,0.0136499999999999,0.006268,0.005878,0.006357,0.008175
137,0.029,0.013615,0.042588,0.013709,0.006358,0.005896,0.0063,0.008344
138,0.029,0.013713,0.043361,0.013436,0.006354,0.005849,0.006308,0.008413
