instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
76,0.0,0.000132,0.000157,0.002263,0.004074,0.003983,0.003946,0.006014
77,0.0,0.000133,0.000152,0.002297,0.003997,0.00399,0.004055,0.00606
78,0.0,0.000133,0.000153,0.002293,0.003964,0.0039,0.004031,0.00608
79,0.0,0.000132,0.000153,0.002261,0.003887,0.003889,0.004015,0.006056
80,0.0,0.000137,0.000152,0.002866,0.003899,0.003924,0.003972,0.00609
81,0.0,0.000132,0.000152,0.002339,0.003896,0.00393,0.004051,0.006107
82,0.0,0.000134,0.000153,0.002227,0.004033,0.003937,0.003964,0.006077
83,0.0,0.000133,0.000152,0.00225,0.00395,0.003962,0.003905,0.006157
84,0.0,0.000133,0.000152,0.002316,0.004019,0.003995,0.003949,0.0062
85,0.0,0.000132,0.000152,0.002288,0.004036,0.004043,0.003921,0.006152
86,0.0,0.000132,0.000154,0.002335,0.00395,0.004072,0.003935,0.006206
87,0.0,0.000132,0.000154,0.002323,0.003964,0.00397,0.003934,0.006116
88,0.0,0.000143,0.00016,0.00231,0.003986,0.00397,0.003982,0.006143
89,0.0,0.000134,0.000154,0.00231,0.003933,0.003961,0.00393,0.006135
90,0.0,0.000141,0.000153,0.002301,0.003991,0.003999,0.00398,0.006194
91,0.0,0.000133,0.000159,0.002304,0.00401,0.004035,0.004041,0.006155
92,0.0,0.000133,0.000154,0.002304,0.004013,0.004021,0.00401,0.006151
93,0.0,0.000138,0.000154,0.002343,0.004035,0.004025,0.004004,0.00616
94,0.0,0.000134,0.00018,0.002353,0.004029,0.004034,0.004108,0.006157
95,0.0,0.000132,0.000154,0.002375,0.004033,0.004049,0.00401,0.006166
96,0.0,0.000133,0.000154,0.002348,0.004153,0.004096,0.004013,0.006151
97,0.0,0.000134,0.000156,0.00237,0.003955,0.004086,0.003988,0.006217
98,0.0,0.000142,0.000155,0.002345,0.003959,0.003973,0.003983,0.006204
99,0.0,0.000134,0.000154,0.002361,0.003968,0.003978,0.003963,0.006215
100,0.0,0.000142,0.000154,0.002392,0.004026,0.003995,0.003975,0.006242
101,0.0,0.000137,0.000154,0.002377,0.004049,0.00399,0.003999,0.006227
102,0.0,0.000143,0.000155,0.002392,0.004009,0.004015,0.003998,0.006327
103,0.0,0.000134,0.000156,0.002395,0.003995,0.004005,0.004025,0.006242
104,0.0,0.000133,0.000156,0.002392,0.004095,0.003992,0.003994,0.006246
105,0.0,0.000134,0.00016,0.002574,0.004103,0.004104,0.004017,0.006255
106,0.0,0.000134,0.000155,0.002388,0.004021,0.004011,0.003996,0.006263
107,0.0,0.000134,0.000155,0.002395,0.004002,0.004008,0.003999,0.006287
108,0.0,0.000141,0.000156,0.002416,0.004007,0.004109,0.004009,0.006286
109,0.0,0.000134,0.000154,0.00239,0.004059,0.00412,0.004127,0.006312
110,0.0,0.00014,0.000155,0.002405,0.004153,0.004085,0.004112,0.006299
111,0.0,0.000134,0.000156,0.002436,0.00412,0.004098,0.004133,0.006406
112,0.0,0.000134,0.000155,0.002419,0.004098,0.00412,0.004105,0.006432
113,0.0,0.000135,0.000161,0.002459,0.004206,0.003854,0.004119,0.006495
114,0.0,0.000134,0.000155,0.002412,0.003985,0.003976,0.003984,0.00648
115,0.0,0.000133,0.000157,0.002389,0.003834,0.003736,0.003922,0.006383
116,0.0,0.000135,0.000155,0.002419,0.003758,0.003742,0.003745,0.00633
117,0.0,0.000135,0.000164,0.002448,0.003763,0.003823,0.003806,0.006326
118,0.0,0.000134,0.000161,0.002458,0.003762,0.00381,0.003777,0.006352
119,0.0,0.000134,0.000157,0.002509,0.003782,0.003773,0.003797,0.006363
120,0.0,0.000137,0.000159,0.002479,0.004133,0.003788,0.004209,0.006549
121,0.0,0.000134,0.000165,0.002459,0.004163,0.004149,0.004193,0.006382
122,0.0,0.000135,0.000156,0.002517,0.004092,0.004087,0.004154,0.006419
123,0.0,0.000136,0.00016,0.002502,0.004104,0.004099,0.004095,0.006527
124,0.0,0.000159,0.000159,0.002477,0.004132,0.004244,0.00415,0.006536
125,0.0,0.000135,0.000163,0.002471,0.004127,0.004112,0.004121,0.006602
126,0.0,0.000135,0.000157,0.0025,0.004114,0.004131,0.004121,0.006632
127,0.0,0.000135,0.000159,0.002492,0.004255,0.004241,0.00428,0.006426
128,0.0,0.000136,0.000159,0.002788,0.00429,0.004262,0.004228,0.00642
129,0.0,0.000136,0.000159,0.00251,0.004219,0.004329,0.004165,0.006425
130,0.0,0.000139,0.000158,0.00257,0.004312,0.004182,0.004218,0.006461
131,0.0,0.000134,0.000159,0.002554,0.004206,0.004195,0.004186,0.006446
132,0.0,0.000136,0.000158,0.002555,0.004353,0.004214,0.00424,0.006442
133,0.0,0.000136,0.000159,0.002581,0.003955,0.004274,0.003919,0.006499
134,0.0,0.000135,0.000159,0.002566,0.004208,0.003888,0.004203,0.006558
135,0.0,0.00016,0.000165,0.002657,0.004273,0.003845,0.004302,0.006563
136,0.0,0.000142,0.000159,0.002641,0.004284,0.003904,0.004328,0.006491
137,0.0,0.000136,0.00016,0.002852,0.004372,0.003914,0.004295,0.006654
138,0.0,0.000137,0.000158,0.002614,0.004302,0.003903,0.004304,0.006638
139,0.0,0.000135,0.000166,0.002686,0.00431,0.003946,0.004305,0.006552
140,0.0,0.000135,0.00016,0.002382,0.004302,0.00391,0.004319,0.006549
141,0.0,0.000135,0.00016,0.002536,0.004309,0.003936,0.00433,0.006564
142,0.0,0.000137,0.000172,0.002674,0.004338,0.003905,0.004335,0.006554
143,0.0,0.000136,0.00016,0.002657,0.004405,0.004036,0.004316,0.006566
144,0.0,0.000136,0.00016,0.002699,0.004245,0.004038,0.00426,0.006618
145,0.0,0.000142,0.00016,0.00273,0.004515,0.004193,0.004342,0.006688
146,0.0,0.000135,0.00016,0.002714,0.004309,0.004158,0.004299,0.006675
147,0.0,0.000143,0.000166,0.002631,0.004315,0.004196,0.004312,0.006818
148,0.0,0.000142,0.00016,0.002665,0.00435,0.004168,0.004417,0.006728
149,0.0,0.000137,0.000171,0.002694,0.004321,0.004183,0.004321,0.006678
150,0.0,0.000138,0.000161,0.002724,0.004324,0.004185,0.004351,0.00687
151,0.0,0.000136,0.000162,0.002728,0.004357,0.004045,0.004315,0.006625
152,0.0,0.000153,0.00016,0.002731,0.004248,0.004019,0.004383,0.00681
153,0.0,0.00014,0.000161,0.002724,0.003955,0.003955,0.004022,0.006735
154,0.0,0.000141,0.000161,0.002364,0.004313,0.004137,0.004333,0.006735
155,0.0,0.000137,0.000162,0.002679,0.004266,0.00415,0.004408,0.006719
156,0.0,0.000137,0.000161,0.00274,0.004277,0.004156,0.004459,0.007037
157,0.0,0.000137,0.000167,0.002763,0.004316,0.00417,0.004434,0.007153
158,0.0,0.000153,0.00016,0.002753,0.004295,0.004169,0.004385,0.007097
159,0.0,0.000138,0.000163,0.002786,0.004314,0.004183,0.004422,0.007126
160,0.0,0.000141,0.000176,0.002675,0.004313,0.004178,0.004448,0.007156
161,0.0,0.000138,0.000162,0.002665,0.00432,0.004024,0.004433,0.007024
162,0.0,0.000139,0.000162,0.002301,0.004328,0.004029,0.004455,0.006886
163,0.0,0.000137,0.000162,0.002329,0.004449,0.004271,0.004511,0.006973
164,0.0,0.000145,0.000162,0.001966,0.004415,0.00411,0.004412,0.006938
165,0.0,0.000151,0.000161,0.001987,0.004428,0.004315,0.004597,0.007015
166,0.0,0.000138,0.000162,0.002359,0.004441,0.004286,0.00465,0.006837
167,0.0,0.000139,0.000162,0.002754,0.004467,0.004433,0.004686,0.006724
168,0.0,0.000138,0.000164,0.002747,0.004426,0.00449,0.004673,0.00694
169,0.0,0.000139,0.000163,0.002756,0.004353,0.004204,0.004398,0.007095
170,0.0,0.000137,0.000162,0.002761,0.004195,0.004245,0.004215,0.007011
171,0.0,0.000138,0.000164,0.002757,0.004411,0.004235,0.004524,0.007145
172,0.0,0.000141,0.000169,0.002759,0.004417,0.004258,0.004604,0.006798
173,0.0,0.000138,0.000163,0.00277,0.004156,0.004263,0.004302,0.006838
174,0.0,0.000138,0.000164,0.002791,0.00411,0.004257,0.00408,0.006885
175,0.0,0.000138,0.000165,0.002394,0.004403,0.004378,0.004587,0.007032
176,0.0,0.000137,0.000163,0.002779,0.004615,0.00431,0.00461,0.007072
177,0.0,0.000138,0.000164,0.002771,0.004478,0.004301,0.004632,0.006942
178,0.0,0.000138,0.000162,0.002423,0.004366,0.004293,0.004329,0.007141
179,0.0,0.000138,0.000164,0.002793,0.004173,0.004298,0.004145,0.007122
180,0.0,0.000138,0.000164,0.002836,0.004147,0.00435,0.004245,0.007026
181,0.0,0.000138,0.000164,0.002763,0.004155,0.004315,0.004195,0.006961
182,0.0,0.000138,0.000164,0.002749,0.004448,0.004264,0.00455,0.007149
183,0.0,0.000145,0.000165,0.002749,0.004259,0.004385,0.00447,0.007164
184,0.0,0.000139,0.000163,0.002801,0.004252,0.004296,0.004285,0.007028
185,0.0,0.000137,0.000164,0.002736,0.004479,0.004387,0.00439,0.0072
186,0.0,0.000141,0.000192,0.002763,0.00446,0.004595,0.004388,0.007083
187,0.0,0.000139,0.000174,0.002692,0.004422,0.004447,0.00441,0.006969
188,0.0,0.000139,0.000169,0.002784,0.004364,0.004381,0.004398,0.007113
189,0.0,0.00015,0.000166,0.002753,0.004597,0.00433,0.004359,0.007093
190,0.0,0.000139,0.000171,0.002746,0.004421,0.004351,0.004226,0.007117
191,0.0,0.000161,0.000184,0.002761,0.004654,0.004379,0.004552,0.007041
192,0.0,0.00014,0.000166,0.002373,0.004591,0.004446,0.00462,0.006958
193,0.0,0.000138,0.000166,0.002766,0.004637,0.004384,0.004378,0.007096
194,0.0,0.000139,0.000165,0.002863,0.004569,0.004233,0.004403,0.007113
195,0.0,0.00014,0.000166,0.002852,0.004588,0.004693,0.004463,0.007177
196,0.0,0.00014,0.000165,0.00282,0.004548,0.004664,0.004384,0.007175
197,0.0,0.000149,0.000174,0.002434,0.004484,0.004672,0.004402,0.007131
198,0.0,0.000139,0.000166,0.002402,0.00458,0.004646,0.004679,0.007117
199,0.0,0.000141,0.000165,0.002837,0.004642,0.004554,0.004555,0.007033
200,0.0,0.000139,0.000172,0.002832,0.004496,0.004425,0.004482,0.007202
201,0.0,0.000144,0.000166,0.002771,0.004647,0.004354,0.004628,0.007259
202,0.0,0.000142,0.000167,0.002446,0.004675,0.00438,0.004715,0.007426
203,0.0,0.000156,0.000166,0.002459,0.004698,0.004479,0.004508,0.007296
204,0.0,0.000146,0.000166,0.002826,0.00451,0.004364,0.004475,0.007208
205,0.0,0.000145,0.000167,0.00284,0.004562,0.004382,0.004588,0.007162
206,0.0,0.00014,0.000167,0.002877,0.004479,0.00447,0.004469,0.007258
207,0.0,0.00014,0.000167,0.002808,0.004465,0.004468,0.004514,0.007371
208,0.0,0.00014,0.000172,0.002911,0.0045,0.004546,0.00447,0.007558
209,0.0,0.000145,0.000167,0.002919,0.004486,0.004387,0.004587,0.007333
210,0.0,0.000139,0.000167,0.002916,0.004512,0.004619,0.004478,0.007191
211,0.0,0.00015,0.000167,0.002827,0.004647,0.004744,0.004624,0.007261
212,0.0,0.00014,0.000168,0.002924,0.004641,0.004947,0.004771,0.007194
