instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,7.371999999999844,4.894249,5.07879,20.3796,20.1947,20.5808
1,7.447000000000116,4.872203,8.70224,5.81801,5.66299,5.89686
2,7.429999999999836,4.901643,8.782323,2.65015,2.53444,2.67904
3,7.497000000000071,4.926274,8.823883,2.65474,2.53087,2.70194
4,7.464000000000169,4.954641,8.793051,2.66119,2.54367,2.70747
5,7.435999999999922,4.9856,8.856556,2.68759,2.52324,2.69663
6,7.461999999999989,4.956156,8.803016,2.65852,2.536,2.6975
7,7.399999999999864,4.94026,8.77589,2.66619,2.53262,2.70121
8,7.443000000000211,4.953518,8.859386,2.6826,2.52802,2.73249
9,7.400000000000091,4.98011,8.793061,2.71216,2.57222,2.72866
10,7.375,4.961722,8.834259,2.70074,2.55538,2.74202
11,7.425000000000182,5.024461,8.833785,2.6978,2.56462,2.75245
12,7.405999999999949,4.979596,8.822732,2.70787,2.56564,2.76114
13,7.4099999999998545,4.996138,8.778206,2.72352,2.56402,2.77106
14,7.430999999999813,4.965847,8.81794,2.72909,2.59195,2.78382
15,7.361999999999853,4.981194,8.83347,2.73401,2.58062,2.79773
16,7.408999999999878,4.966733,8.799155,2.77907,2.59619,2.81991
17,7.523999999999887,4.984782,8.799749,2.79972,2.64188,2.8544
18,7.3960000000001855,4.968883,8.851011,2.81461,2.62,2.85067
19,7.392000000000053,4.944874,8.789718,2.83446,2.63361,2.84932
20,7.459999999999809,4.978724,8.820936,2.84604,2.62047,2.85381
21,7.531999999999925,4.973909,8.76804,2.84842,2.66042,2.84522
22,7.4659999999998945,4.994387,8.839462,2.84942,3.39656,2.85082
23,7.426999999999907,4.972778,8.837465,2.86369,2.68571,2.87086
24,7.418999999999869,4.956532,8.83311,2.86864,2.66945,2.89467
25,7.407999999999902,4.987545,8.813925,2.88505,2.68229,2.92764
26,7.444999999999936,4.988112,8.832147,2.89914,2.66457,2.94557
27,7.423000000000002,4.94559,8.808008,2.91772,2.71014,2.9564
28,7.4909999999999854,4.969548,8.842875,2.98287,2.74923,3.01005
29,7.539000000000215,4.972125,8.828103,2.98231,2.7581,3.00196
30,7.4340000000001965,4.994768,8.838171,3.00255,2.74979,3.0194
31,7.45699999999988,4.979567,8.792789,3.01418,2.75372,3.0304
32,7.535000000000082,4.977187,8.836837,3.00875,2.76795,3.02621
33,7.398000000000138,4.947923,8.786713,3.01559,2.77371,3.07097
34,7.557999999999993,4.975024,8.826578,3.03697,2.79972,3.09352
35,7.406000000000176,4.986047,8.913264,3.0631,2.75791,3.07407
36,7.546000000000049,4.997752,8.857793,3.06419,2.7603,3.10938
37,7.383999999999787,5.030564,8.805756,3.06487,2.77312,3.12416
38,7.445999999999913,4.979146,8.860399,3.08498,2.83012,3.1197
