instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,0.0,0.001589,0.001611,0.003954,0.003845,0.004039
1,0.0,0.27304,0.267897,0.000192,0.000179,0.000195
2,0.0,0.277982,0.249646,0.000225,0.000221,0.000192
3,0.0,0.278364,0.244593,0.000241,0.00026,0.00022
4,0.0,0.277322,0.254061,0.000266,0.000269,0.000246
5,0.0,0.27779,0.252735,0.000293,0.000304,0.000263
6,0.0,0.278131,0.249182,0.000328,0.000338,0.000309
7,0.0,0.279926,0.25127,0.000344,0.000356,0.000335
8,0.0,0.280791,0.24752,0.000381,0.000389,0.000361
9,0.0,0.278181,0.247287,0.000397,0.000398,0.000386
10,0.0,0.280776,0.248317,0.000421,0.000445,0.000406
11,0.0,0.278877,0.247651,0.000444,0.000461,0.000435
12,0.0,0.280635,0.247644,0.000488,0.000496,0.000482
13,0.0,0.278352,0.248395,0.000508,0.000525,0.000487
14,0.0,0.278137,0.247594,0.000527,0.000571,0.000516
15,0.0,0.281966,0.246445,0.000553,0.00057,0.000542
16,0.0,0.27695,0.246943,0.000575,0.000603,0.000568
17,0.0,0.27771,0.246774,0.000603,0.000613,0.000597
18,0.0,0.276711,0.247452,0.00063,0.00061,0.000615
19,0.0,0.277704,0.246759,0.000663,0.000635,0.000642
20,0.0,0.278589,0.247239,0.000679,0.000667,0.000665
21,0.0,0.282416,0.248013,0.000714,0.000697,0.000686
22,0.0,0.281321,0.24688,0.000729,0.001008,0.00071
23,0.0,0.281953,0.248742,0.000762,0.000897,0.000744
24,0.0,0.282784,0.248242,0.000761,0.000871,0.000761
25,0.0,0.28007,0.249125,0.000811,0.000901,0.000805
26,0.0,0.28499,0.247803,0.000825,0.000925,0.000821
27,0.0,0.281311,0.24843,0.00084,0.000953,0.000834
28,0.0,0.277007,0.24713,0.000872,0.000983,0.000857
29,0.0,0.279015,0.248799,0.000887,0.001011,0.000893
30,0.0,0.277004,0.247683,0.000924,0.001029,0.000898
31,0.0,0.283954,0.276488,0.000942,0.001061,0.00092
32,0.0,0.280457,0.249796,0.000959,0.001083,0.000974
33,0.0,0.279569,0.248653,0.000987,0.001104,0.000988
34,0.0,0.277359,0.250952,0.001007,0.001189,0.001013
35,0.0,0.279248,0.249728,0.001043,0.001204,0.001036
36,0.0,0.28411,0.251153,0.001059,0.001205,0.001062
