instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,1.7520000000000024,1.130675,1.157466,2.68382,2.75542,2.78356
1,1.756999999999998,1.116653,2.056072,0.81585,0.808017,0.828422
2,1.759999999999998,1.197747,2.043377,0.591728,0.577382,0.595592
3,1.7549999999999957,1.13958,2.053905,0.593291,0.572282,0.595567
4,1.7830000000000013,1.139469,2.047462,0.590889,0.574304,0.596975
5,1.7719999999999985,1.138749,2.062437,0.596294,0.779173,0.608723
6,1.762999999999998,1.138364,2.063281,0.601495,0.580357,0.605828
7,1.786999999999999,1.149746,2.069684,0.599071,0.644926,0.605644
8,1.7750000000000057,1.148465,2.054464,0.614255,0.585019,0.612123
9,1.7920000000000016,1.145689,2.064854,0.604969,0.584029,0.618095
10,1.7600000000000051,1.150632,2.058566,0.607934,0.584288,0.622646
11,1.767000000000003,1.157171,2.069993,0.613127,0.587548,0.628836
12,1.7590000000000003,1.148422,2.049589,0.612635,0.588992,0.633218
13,1.777000000000001,1.145231,2.061955,0.624586,0.594174,0.621881
14,1.7639999999999958,1.136449,2.06135,0.620117,0.589457,0.627158
15,1.7689999999999984,1.137038,2.06513,0.627292,0.594386,0.632919
16,1.7590000000000003,1.132206,2.069794,0.631891,0.598797,0.633839
17,1.75,1.148484,2.074556,0.633105,0.597622,0.636977
18,1.757000000000005,1.152612,2.073238,0.637527,0.597517,0.633969
19,1.7739999999999938,1.136919,2.060798,0.647975,0.605141,0.653859
20,1.7789999999999964,1.143946,2.081475,0.654426,0.603551,0.638761
21,1.764000000000003,1.140744,2.064619,0.651162,0.607067,0.646966
22,1.7650000000000006,1.143142,2.077255,0.66279,0.607782,0.646804
23,1.7659999999999982,1.140617,2.054636,0.644245,0.608819,0.65064
24,1.7710000000000008,1.144218,2.096844,0.650184,0.611218,0.652751
25,1.7620000000000005,1.154922,2.086423,0.650388,0.611245,0.652285
26,1.7479999999999976,1.146507,2.072723,0.652147,0.61223,0.660899
27,1.7610000000000028,1.147328,2.134515,0.655914,0.615733,0.663133
28,1.7830000000000013,1.153232,2.082847,0.659097,0.617044,0.667076
29,1.7509999999999977,1.155315,2.065282,0.670031,0.615214,0.667503
30,1.7610000000000028,1.137462,2.073251,0.665081,0.621074,0.671433
31,1.767000000000003,1.160515,2.066869,0.669417,0.624052,0.674185
32,1.7560000000000002,1.144588,2.079153,0.674387,0.626566,0.674
33,1.7609999999999957,1.142642,2.07075,0.695495,0.624903,0.679325
34,1.7639999999999958,1.148244,2.076631,0.696344,0.632044,0.686058
35,1.774000000000001,1.135725,2.069396,0.70137,0.629516,0.686513
36,1.7850000000000037,1.152706,2.081483,0.703579,0.631872,0.693549
37,1.7860000000000014,1.150501,2.065814,0.706772,0.633663,0.69623
38,1.7620000000000005,1.146615,2.071373,0.709004,0.631549,0.694334
39,1.7879999999999967,1.147546,2.068678,0.711497,0.638145,0.696867
40,1.7659999999999982,1.151042,2.075486,0.698227,0.638716,0.700858
41,1.7719999999999985,1.145763,2.072413,0.698595,0.639879,0.701261
42,1.7860000000000014,1.142594,2.082659,0.721606,0.642741,0.708719
43,1.8000000000000045,1.143084,2.074731,0.72765,0.639773,0.714811
44,1.766999999999996,1.157859,2.074015,0.729664,0.647158,0.710863
45,1.7689999999999984,1.145597,2.070153,0.729291,0.646174,0.713599
46,1.762999999999998,1.15067,2.077161,0.733876,0.651364,0.71498
47,1.7590000000000003,1.143574,2.075778,0.734631,0.649309,0.720864
48,1.7659999999999982,1.143836,2.088342,0.740567,0.652326,0.723801
49,1.762999999999998,1.163549,2.071829,0.742867,0.648479,0.726337
50,1.7650000000000006,1.149534,2.084063,0.722423,0.652207,0.730033
51,1.7830000000000013,1.154492,2.072001,0.738139,0.657721,0.729624
52,1.7749999999999986,1.150027,2.086403,0.754982,0.665269,0.755231
53,1.7779999999999987,1.144689,2.091097,0.730949,0.691239,0.777047
54,1.781000000000006,1.142535,2.074944,0.733499,0.690166,0.768897
55,1.7719999999999985,1.148062,2.101022,0.736264,0.692428,0.752461
56,1.7879999999999967,1.15208,2.071232,0.741481,0.697253,0.751517
57,1.776999999999994,1.140826,2.080635,0.745597,0.694874,0.757459
58,1.7790000000000037,1.163925,2.073123,0.74479,0.701407,0.757205
59,1.7709999999999937,1.143894,2.069223,0.752947,0.702017,0.759433
60,1.777000000000001,1.14749,2.06933,0.757614,0.700605,0.761017
61,1.7650000000000006,1.140029,2.07884,0.756633,0.701286,0.764272
62,1.7860000000000014,1.141069,2.069996,0.753959,0.708696,0.781898
63,1.7689999999999984,1.144614,2.077255,0.7563,0.710333,0.771347
64,1.7749999999999986,1.140448,2.063627,0.77411,0.710551,0.781113
65,1.7650000000000006,1.135838,2.06781,0.760875,0.713567,0.776627
66,1.7739999999999938,1.150929,2.083272,0.775361,0.712001,0.776965
67,1.7590000000000003,1.142679,2.073739,0.767609,0.715017,0.781066
68,1.7720000000000056,1.143373,2.062389,0.764096,0.716385,0.786332
69,1.7750000000000057,1.147084,2.086999,0.789047,0.721017,0.784386
70,1.774000000000001,1.1421,2.096098,0.771183,0.720734,0.78302
71,1.7959999999999994,1.150122,2.081066,0.790292,0.720565,0.786904
72,1.7590000000000003,1.152672,2.077321,0.777865,0.73498,0.790219
73,1.7730000000000032,1.149472,2.083312,0.778646,0.737377,0.788501
74,1.786999999999999,1.144356,2.08206,0.78627,0.696767,0.794807
75,1.768000000000001,1.147365,2.08697,0.782554,0.695361,0.792433
76,1.7809999999999988,1.14945,2.081717,0.7852,0.700448,0.796223
77,1.8029999999999973,1.149647,2.088698,0.792717,0.746853,0.805246
78,1.7749999999999986,1.146635,2.10016,0.795647,0.748982,0.807682
79,1.768000000000001,1.15564,2.081318,0.79691,0.735923,0.805031
80,1.7779999999999987,1.147753,2.076908,0.804336,0.699596,0.807474
81,1.7830000000000013,1.147674,2.089741,0.828781,0.715196,0.840406
82,1.767000000000003,1.146805,2.099539,0.835437,0.710658,0.854539
