instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,61.73,143.519861,198.20379,950.109,959.619,958.19
1,61.43,143.321177,0.461862,997.929,1017.09,54.1221
2,61.57,143.031166,0.458494,1.52009,1017.14,1.51046
3,61.49,143.589013,0.458275,1.52161,1012.91,1.50879
4,61.51,143.601771,0.461072,1.51989,1015.64,1.51486
5,61.51,144.183095,0.461845,1.53546,1012.74,1.5292
6,61.67,143.373183,0.457952,1.5398,1010.39,1.53511
7,61.4,143.582597,0.458537,1.56197,1011.78,1.54686
8,61.44,143.307636,0.460667,1.56866,1016.12,1.56896
9,61.62,143.253076,0.45974,1.575,1010.08,1.58139
10,61.83,143.360815,0.460966,1.57776,1013.44,1.593
11,61.54,143.261248,0.459312,1.59883,1010.69,1.60651
12,61.74,143.427899,0.458796,1.59364,1011.46,1.61137
13,61.51,143.763154,0.460654,1.62887,1008.33,1.62523
14,61.42,143.396331,0.459053,1.61615,1011.86,1.62476
15,61.85,143.443873,0.459604,1.64753,1010.98,1.64773
16,61.94,143.406707,0.460795,1.65731,1016.18,1.66764
17,61.34,143.614433,0.4584,1.67148,1013.26,1.64873
18,61.3,143.371528,0.461733,1.67691,1014.5,1.66975
19,61.59,143.538871,0.459339,1.68889,1016.04,1.68981
20,61.39,144.567637,0.460423,1.69939,1011.74,1.6962
21,61.39,143.337869,0.461059,1.71897,1010.54,1.70955
22,61.66,143.779678,0.458776,1.7175,1010.66,1.70766
23,61.49,143.508727,0.460001,1.7273,1011.34,1.72614
24,61.28,143.435219,0.460666,1.73307,1011.81,1.74385
25,61.54,143.066293,0.460034,1.74842,1013.08,1.75239
26,61.88,143.630072,0.461702,1.74815,1015.8,1.7692
27,61.41,143.883954,0.460568,1.76653,1013.99,1.77475
28,61.35,144.178441,0.462052,1.78429,1012.91,1.78377
29,61.34,144.686028,0.459717,1.79187,1015.29,1.79885
30,61.44,143.896779,0.459344,1.80321,1017.18,1.80558
31,61.3,143.291737,0.460841,1.80496,1014.67,1.82381
32,61.41,143.50493,0.462126,1.82608,1017.16,1.83423
33,61.35,143.593629,0.459903,1.8396,1012.65,1.842
34,61.31,143.29666,0.462111,1.85029,1015.12,1.85747
35,61.5,143.556931,0.462359,1.8674,1018.72,1.87358
36,61.72,143.633317,0.461702,1.87765,1013.55,1.87826
37,61.47,143.518233,0.461251,1.88889,1016.11,1.88472
38,61.54,143.314659,0.458219,1.89951,1016.09,1.89934
39,61.53,143.401082,0.459914,1.90874,1014.88,1.91059
40,61.78,143.062386,0.460064,1.90975,1018.98,1.92128
41,61.68,143.409306,0.46503,1.92397,1015.12,1.93309
42,61.65,143.523018,0.461196,1.9429,1012.22,1.9461
43,61.54,143.764878,0.463499,1.95261,1010.85,1.94939
44,61.6,143.490863,0.460436,1.96157,1015.89,1.96894
45,61.74,144.657557,0.461714,1.97002,1014.22,1.9646
46,61.72,143.944349,0.460468,1.99044,1014.15,1.99133
47,61.58,143.562528,0.460166,1.99716,1016.93,1.99855
48,61.72,146.16736,0.461339,2.00156,1016.32,2.01118
49,61.49,143.421897,0.462816,2.01927,1013.9,2.01205
50,61.47,143.251856,0.463064,2.02673,1013.87,2.02503
51,61.64,143.432094,0.463061,2.05058,1015.39,2.05271
52,61.54,143.296981,0.460953,2.0405,1015.01,2.04794
53,61.71,143.396813,0.462212,2.05534,1015.39,2.05998
54,61.55,143.073816,0.459462,2.06733,1020.65,2.07037
55,61.61,143.477189,0.459548,2.0847,1018.48,2.08061
56,61.63,143.440494,0.4619,2.08987,1014.74,2.10507
57,61.63,143.741895,0.461461,2.08976,1013.85,2.11374
58,61.48,143.61352,0.460489,2.09984,1013.45,2.11968
59,61.7,143.277531,0.457179,2.10383,1013.73,2.14097
60,61.61,143.222808,0.45839,2.11671,1012.43,2.15164
61,61.56,143.432589,0.459202,2.13265,1013.95,2.158
62,61.51,143.4665,0.460499,2.14245,1017.86,2.17102
63,61.68,143.123164,0.460497,2.15435,1013.16,2.17385
64,61.5,143.089079,0.459311,2.16105,1018.0,2.18607
65,61.44,143.526265,0.46016,2.1656,1015.19,2.19755
66,61.52,143.448204,0.460669,2.17775,1015.78,2.20563
67,61.49,143.221518,0.460625,2.18555,1015.92,2.21376
68,61.48,143.576594,0.461561,2.20664,1015.21,2.22644
69,61.62,143.306161,0.462473,2.20874,1013.78,2.2353
70,61.49,143.585644,0.462538,2.21759,1015.61,2.2457
71,61.56,143.515104,0.461913,2.23145,1014.23,2.25638
72,62.03,143.705164,0.46198,2.23734,1015.2,2.26187
73,61.36,143.607823,0.462018,2.2527,1014.18,2.27321
74,61.67,143.465375,0.46232,2.2725,1017.08,2.28357
75,61.58,143.529552,0.46313,2.27555,1012.76,2.28431
76,61.49,143.821223,0.463711,2.28765,1015.15,2.30043
77,61.46,142.922455,0.463408,2.29217,1011.18,2.30436
78,61.79,143.097523,0.462571,2.30607,1019.59,2.31462
79,61.65,142.746981,0.461987,2.31295,1012.59,2.32381
80,61.76,142.922073,0.464683,2.34836,1013.24,2.35674
81,61.49,142.879635,0.460994,2.32849,1013.9,2.33621
82,61.48,143.321649,0.462538,2.33845,1013.31,2.35107
83,61.65,143.610679,0.462541,2.36694,1016.66,2.35796
84,61.42,143.032485,0.462398,2.35726,1014.95,2.39095
85,61.51,145.251409,0.462917,2.36917,1015.09,2.37595
86,61.29,143.549898,0.460536,2.37382,1016.37,2.39621
87,61.36,142.984389,0.465003,2.37795,1013.36,2.40095
88,61.32,143.469936,0.462467,2.38727,1018.0,2.41689
89,61.31,143.086815,0.469745,2.40142,1015.97,2.41716
90,61.9,142.821151,0.465506,2.41031,1013.83,2.43784
91,61.4,142.727498,0.464693,2.42472,1017.09,2.44403
92,61.42,142.872779,0.462424,2.42906,1012.55,2.45407
93,61.51,142.706366,0.461791,2.45681,1016.45,2.47364
94,61.5,143.084037,0.45846,2.4702,1014.84,2.46724
95,61.57,143.262142,0.461989,2.4638,1013.3,2.47388
96,61.76,143.244875,0.460202,2.47325,1013.52,2.49781
97,61.57,142.917723,0.461376,2.5042,1013.32,2.48932
98,61.63,143.251073,0.461856,2.49347,1020.59,2.50037
99,62.41,142.696256,0.460181,2.50719,1017.44,2.52777
