instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
77,0.12,0.084548,0.024763,0.083941,0.13834,0.516226,0.141401,0.791226
78,0.01,0.03173,0.023888,0.324401,0.342635,0.401803,0.140134,1.78009
79,0.37,1.209495,0.02472,0.268078,0.142211,1.64705,0.145594,1.74055
80,0.01,0.028644,0.024472,0.209968,0.164949,0.185767,0.143319,1.37559
81,0.53,0.583522,0.024481,0.392635,0.142322,0.966847,0.144104,4.41129
82,0.24,0.415843,0.025774,0.761898,0.142687,0.543456,0.150649,3.35059
83,0.12,0.935423,0.024573,0.465823,0.143327,0.707288,0.152535,0.619031
84,0.53,0.18943,0.024576,0.429901,0.145072,0.494514,0.146481,1.53722
85,0.11,0.124936,0.024232,0.3429,0.144378,1.92797,0.152988,1.03887
86,0.06,0.236433,0.026596,0.194759,0.246801,0.173989,0.15124,0.345315
87,0.08,0.091073,0.024507,0.302042,0.186524,0.563334,0.147584,1.18096
88,0.38,0.060961,0.02467,0.486078,0.148301,0.602787,0.150411,1.48857
89,0.04,0.031106,0.02399,1.13225,0.14825,1.17815,0.150534,1.48602
90,0.09,0.104155,0.024725,0.122403,0.14966,0.258995,0.15115,1.04635
91,0.09,0.110497,0.024162,1.52781,0.150274,0.526421,0.157109,0.399786
92,0.6,0.120256,0.024142,1.78489,0.151693,0.954589,0.153607,1.42092
93,0.01,0.038205,0.024791,0.08398,0.153041,0.203819,0.15486,0.447822
94,0.05,0.171365,0.024361,0.221943,0.154003,0.214516,0.156131,1.2241
95,0.21,0.248732,0.024456,0.409461,0.155207,0.283161,0.155803,0.686113
96,0.02,0.045835,0.024249,0.302969,0.15824,0.183627,0.158813,0.622088
97,0.11,0.245072,0.024246,0.333967,0.155464,1.09752,0.161324,1.35903
98,0.15,0.191607,0.024357,0.09609,0.158481,0.167277,0.159046,1.3093
99,0.23,0.218865,0.024077,0.844223,0.159368,0.315276,0.163817,1.4149
100,0.39,0.234525,0.02447,0.265319,0.159693,0.284941,0.161816,1.25503
101,0.03,0.046562,0.024466,0.465224,0.160684,0.175386,0.162477,0.500222
102,0.04,0.063562,0.02416,0.223128,0.162068,0.269023,0.162987,0.765404
103,0.42,0.027786,0.024272,0.352193,0.162261,0.47578,0.165888,0.398532
104,0.18,0.310016,0.024259,1.27622,0.162309,0.373969,0.170769,7.26242
105,0.02,0.057319,0.023988,0.595661,0.164609,0.214109,0.170551,1.02541
106,0.53,0.388451,0.024682,0.193108,0.173781,0.319062,0.166709,1.56971
107,0.01,0.092662,0.024725,0.637383,0.167626,0.429819,0.168942,0.915987
108,0.09,0.10915,0.024149,0.428587,0.168073,0.199279,0.169561,0.828524
109,0.03,0.047679,0.024383,0.08515,0.168735,0.188841,0.173755,0.461269
110,0.09,0.215701,0.02468,0.247499,0.1676,0.210993,0.17081,0.634776
111,0.04,0.066612,0.02406,0.419206,0.170879,0.721398,0.17037,2.1332
112,0.09,0.076114,0.024415,0.278128,0.170739,0.40536,0.170993,0.648634
113,0.02,0.043678,0.024477,0.219621,0.208263,0.209135,0.174178,0.673072
114,0.25,0.099499,0.02402,0.19461,0.170611,0.35973,0.172682,2.22903
115,0.19,0.043949,0.024056,0.457111,0.271102,0.341995,0.173384,0.676603
116,0.52,1.434324,0.024457,1.41651,0.174511,0.857185,0.178197,1.1566
117,0.13,0.08742,0.02444,0.180949,0.175872,0.276492,0.176372,0.854158
118,0.09,0.179317,0.025226,0.124518,0.174936,0.299582,0.177555,1.07564
119,0.56,0.463463,0.024164,0.281468,0.626436,0.323209,0.182168,0.696445
120,0.23,0.188587,0.024243,2.79562,0.176565,0.792027,0.185767,3.29649
121,0.29,0.176955,0.024652,0.129243,0.177928,0.540491,0.181469,2.5032
122,0.04,0.058595,0.024856,0.099366,0.179792,0.17776,0.180563,0.776264
123,0.18,0.222583,0.023976,0.528894,0.178778,0.368444,0.186984,0.919092
124,0.18,0.135827,0.024426,0.248251,0.28276,0.293302,0.180342,1.05994
125,0.07,0.077526,0.024289,0.563567,0.227476,0.204799,0.181426,0.873033
126,0.42,0.18971,0.024159,0.354329,0.181733,0.435624,0.183588,0.638816
127,0.09,0.112067,0.024579,0.07084,0.181264,0.34833,0.191462,1.95264
128,0.04,0.115523,0.024433,0.28539,0.245084,0.256206,0.186353,0.660506
129,0.01,0.031992,0.024518,0.231019,0.216551,0.181048,0.186279,0.707093
130,0.05,0.060647,0.024306,0.275498,0.185404,0.311325,0.186982,2.64443
131,0.1,0.121713,0.024241,0.159454,0.185837,0.204136,0.186663,1.07548
132,0.12,0.037843,0.02725,1.18834,0.538325,0.405953,0.190673,1.24212
133,0.09,0.110404,0.024142,0.366405,0.329393,0.197825,0.190544,2.19687
134,0.04,0.257464,0.024193,3.23684,0.18744,1.31811,0.193723,3.33002
135,0.23,0.247989,0.024775,0.830881,0.190339,0.210114,0.191829,0.892385
136,0.02,1.218782,0.024805,1.00498,0.189859,1.88395,0.201297,9.28991
137,0.9,0.100166,0.024167,1.08433,0.1909,0.711087,0.192736,1.06539
138,0.09,0.10446,0.02512,0.583259,0.192578,0.949733,0.193781,1.3312
139,0.09,0.284657,0.024239,0.291794,0.192533,0.333562,0.196134,0.885728
140,1.13,0.244239,0.024276,1.72134,0.193189,0.829694,0.197156,1.72167
141,1.12,0.236147,0.023844,3.73034,0.309112,2.27282,0.194426,7.683
142,0.03,0.061924,0.024575,0.144543,0.220616,0.24628,0.200231,0.874621
143,0.49,0.76975,0.025142,1.06681,0.195496,0.515055,0.204542,4.42781
144,0.23,0.036876,0.024451,0.382681,0.196536,0.514888,0.198719,0.903927
145,0.25,0.139472,0.024644,0.202662,0.197503,0.406544,0.198574,1.48152
146,0.1,0.08115,0.024485,0.136279,0.198057,0.255792,0.201545,0.464475
147,0.07,0.206504,0.024305,0.206502,0.19814,0.328001,0.205171,0.808587
148,0.01,0.027418,0.024204,0.302535,0.19956,0.198258,0.203901,0.763516
149,0.12,0.140744,0.024679,0.0953,0.201545,0.254145,0.204365,1.83789
150,0.05,0.072622,0.024777,0.134899,0.213639,0.207046,0.208447,0.917285
151,0.09,0.11385,0.024138,0.243567,0.201083,0.465783,0.206224,2.39632
152,0.15,0.187246,0.02455,0.217708,0.202847,0.270571,0.206451,1.28141
153,0.39,0.388952,0.02451,0.271404,0.203009,1.01925,0.211771,1.56756
154,0.25,1.869127,0.023854,0.666951,0.203807,0.939877,0.206459,0.811631
155,0.26,0.619701,0.024232,0.194987,0.816512,0.508812,0.207921,3.349
156,0.17,0.166248,0.024687,1.55874,0.206418,0.491491,0.209776,0.894478
157,0.03,0.047862,0.024288,0.499424,0.209805,0.450241,0.209883,0.903391
158,0.07,0.117846,0.024159,0.230447,0.205768,0.24801,0.20981,0.561146
159,0.03,0.088018,0.024366,0.116531,0.206347,0.433394,0.211607,2.04315
160,0.44,0.769772,0.02445,0.691438,0.207676,0.728419,0.210309,1.38339
161,0.05,0.046331,0.024147,0.292076,0.209507,0.878859,0.212034,1.27769
162,0.22,0.14005,0.024272,0.183974,0.339605,0.225233,0.218576,0.598841
163,0.12,0.594617,0.024338,0.54308,0.21036,0.69277,0.216582,1.37888
164,0.09,0.109634,0.024897,0.111011,0.210965,0.220035,0.216372,0.499457
165,0.1,0.031222,0.024253,0.125646,0.210753,0.309492,0.221626,0.792307
166,0.02,0.272703,0.024405,0.244823,0.262534,0.653651,0.222266,1.04932
167,0.06,0.084182,0.024495,0.546712,0.21357,0.253907,0.21654,0.777508
168,0.25,0.236192,0.024653,0.168266,1.18539,1.31098,0.220367,0.862639
169,0.13,0.042635,0.024537,0.287138,0.214059,0.42349,0.219683,0.888394
170,0.36,0.114906,0.024601,0.164797,0.215535,0.605615,0.219266,0.691395
171,0.43,0.492661,0.024331,0.256084,0.327983,0.231779,0.220847,0.94539
172,0.17,0.184734,0.024653,0.97181,0.217835,0.353078,0.220699,1.4114
173,0.72,0.750147,0.023868,3.23262,2.4792,1.9194,0.231148,9.90333
174,0.33,0.070848,0.024339,0.986725,0.885791,0.562658,0.227749,0.766053
175,0.26,1.069247,0.02409,0.575902,0.361815,0.503517,0.223515,1.74929
176,0.08,0.207949,0.024205,0.210492,0.415122,0.376886,0.224089,0.589766
177,0.32,0.35803,0.024023,6.9671,0.220758,1.79706,0.225527,3.95575
178,0.91,0.125037,0.024611,0.537978,0.220378,0.370169,0.226152,0.548416
179,0.01,0.07684,0.024618,0.179196,0.221501,0.326888,0.236247,0.883355
180,0.6,0.80608,0.024029,0.087327,0.220885,0.472392,0.228008,2.40762
181,0.26,1.134136,0.024003,0.696021,0.220639,2.12048,0.224115,3.5714
182,0.1,0.062153,0.024136,1.29664,0.224485,0.364752,0.228648,0.600891
183,0.2,0.349517,0.024463,0.2469,0.224934,0.57939,0.228928,0.88866
184,0.06,0.085396,0.024427,0.2267,0.245832,0.248002,0.23312,0.659597
185,0.55,0.98828,0.024385,0.902812,0.225181,1.74785,0.23077,1.57914
186,0.44,1.043352,0.028419,0.494099,0.224816,0.409816,0.239601,3.09227
187,0.08,0.066354,0.024376,0.247854,0.227506,0.307814,0.232037,0.834949
188,0.53,0.370015,0.024228,2.45843,0.387907,0.355554,0.231738,1.15687
189,0.01,0.158147,0.024185,0.776738,0.228437,0.498417,0.237932,0.602733
190,0.06,0.075376,0.024509,0.593827,0.229285,0.312739,0.235328,0.774267
191,0.05,0.067794,0.024531,0.122963,0.275502,0.268563,0.235721,0.640304
192,0.27,0.128866,0.024178,0.169626,0.228846,0.409005,0.236477,1.36298
193,0.01,0.126497,0.024024,0.331137,0.23078,0.79333,0.248346,2.03383
194,0.14,0.349208,0.024266,0.219944,0.231722,0.298614,0.23787,0.960666
195,0.03,0.048387,0.024108,0.226289,0.231919,0.286491,0.253543,1.85252
196,0.21,0.226785,0.024626,0.252658,0.23827,0.315377,0.237651,0.821337
197,0.38,0.894702,0.024557,0.103469,0.233712,0.548558,0.250058,1.26683
198,0.12,0.03501,0.024778,0.198084,0.235979,0.266645,0.241162,0.912016
199,0.1,0.232232,0.024852,1.09408,0.237169,0.605658,0.241274,2.7916
200,0.14,0.126715,0.024538,0.726719,0.236448,0.486492,0.255329,0.807304
201,0.03,0.031547,0.0244,0.110725,0.236526,0.237886,0.241954,0.686933
202,0.09,0.116139,0.024305,0.995498,0.415159,0.434503,0.245222,1.84018
203,0.37,0.472232,0.024069,0.645583,0.626749,0.264675,0.247087,5.27568
204,0.19,0.217224,0.024132,0.097003,0.238509,0.723249,0.249136,2.06371
205,0.1,0.132805,0.024137,0.477445,0.245043,0.274346,0.249079,1.71663
206,0.1,0.11489,0.024678,0.930367,0.24088,0.260016,0.245199,0.88411
207,0.29,0.836119,0.023922,2.56293,0.240625,0.697997,0.245648,2.31739
208,0.02,0.04059,0.024826,0.28475,0.358342,0.266403,0.248529,0.839146
209,0.03,0.053074,0.02448,0.418622,0.241147,0.389185,0.26952,0.825541
210,1.15,0.112157,0.024192,0.14545,0.242025,0.834304,0.248081,5.77612
211,0.04,0.061753,0.024181,0.215848,0.245405,0.328089,0.251021,0.488491
212,0.08,0.099636,0.024211,0.405181,0.245075,0.278621,0.267839,0.813175
213,0.62,0.717897,0.024514,0.330578,0.247239,0.252047,0.254402,1.30489
214,0.03,0.056163,0.024375,0.168713,0.247321,0.255009,0.25114,2.33341
215,0.25,0.266523,0.024779,0.121257,0.247321,0.256634,0.25271,1.14978
216,1.61,0.615757,0.024211,1.64682,0.247633,1.97134,0.253249,4.46598
217,0.07,0.127966,0.024862,0.182165,0.250976,0.591035,0.258838,2.22489
218,0.08,0.096416,0.024088,0.870158,0.24818,0.292214,0.25441,1.46615
219,0.12,0.052102,0.02489,0.159329,0.386334,0.519794,0.254431,1.1155
220,0.05,0.073998,0.023954,1.44228,0.489466,0.420337,0.254633,2.10424
221,0.13,0.147679,0.023965,1.71371,0.538667,0.823972,0.265707,1.3842
222,0.02,0.042782,0.024854,0.259146,0.251488,0.269595,0.256588,0.800787
223,0.13,0.198402,0.024923,0.368625,0.252829,0.288353,0.268154,1.25683
224,0.15,0.04478,0.024232,0.225669,0.252499,0.302183,0.258054,0.773148
225,0.15,0.127807,0.024394,0.21008,0.253983,0.371789,0.258589,0.706767
226,0.59,0.635435,0.024328,1.04432,0.255676,0.324341,0.269225,0.865639
227,0.61,0.188468,0.025056,0.174341,0.255026,0.327861,0.263303,1.32563
228,0.09,0.107172,0.024902,0.118552,0.257373,0.250774,0.266451,1.47158
229,0.04,0.080619,0.026254,0.114276,0.257013,0.362147,0.262627,2.0576
230,0.06,0.05783,0.024154,0.140888,0.256944,0.288993,0.27218,1.24656
231,0.06,0.092594,0.0244,0.577049,0.376028,0.287182,0.262711,0.912088
232,0.03,0.046839,0.024311,0.221444,0.276658,0.274086,0.262397,0.587226
233,0.38,0.401958,0.024256,0.065384,0.487044,0.331227,0.271287,4.25553
234,0.09,0.160091,0.024054,0.326081,0.260414,0.371753,0.269222,3.58027
235,0.7,1.275284,0.024166,0.833485,0.264477,0.410682,0.264883,2.75983
236,1.07,0.588567,0.024353,0.102898,0.262209,0.458384,0.269709,2.16842
237,0.03,0.941427,0.023999,1.24509,0.258247,0.484343,0.27047,3.22056
238,0.08,0.213545,0.024033,0.224253,0.262405,0.591639,0.266849,0.777469
239,0.13,0.117706,0.024485,0.121046,0.263627,0.381597,0.269451,0.859927
240,0.03,0.052889,0.024406,0.296007,0.264283,0.486947,0.269861,0.905593
241,0.06,0.076997,0.024533,0.12727,0.264679,0.579049,0.268985,0.649122
242,0.09,0.628926,0.024647,0.12486,0.261693,1.4807,0.269917,2.67592
243,0.05,0.151244,0.024619,0.145734,0.266072,0.365602,0.278017,0.968052
244,0.61,0.444374,0.02398,0.962809,0.263882,0.571416,0.27184,1.43013
