instance_number,clingo,clingo api,clingo api heu,dlv2,incr heu,no remodel,no switch,std incr
76,0.0,0.034508,0.033844,0.017596,0.01244,0.012766,0.012563,0.01258
77,0.0,0.035218,0.03509,0.0182,0.013124,0.013227,0.013155,0.01336
78,0.0,0.034431,0.033619,0.017474,0.012231,0.012433,0.012516,0.012079
79,0.0,0.034,0.033944,0.01761,0.012526,0.012841,0.012631,0.012815
80,0.0,0.03673,0.035003,0.018146,0.012979,0.013232,0.013065,0.01321
81,0.0,0.034509,0.03423,0.017703,0.012754,0.012921,0.012787,0.01277
82,0.0,0.033805,0.033143,0.017215,0.012335,0.012654,0.012427,0.013996
83,0.0,0.036065,0.034645,0.017956,0.012936,0.013178,0.01309,0.013303
84,0.0,0.035827,0.035288,0.015945,0.013071,0.013268,0.01334,0.013163
85,0.0,0.035389,0.034508,0.017634,0.012758,0.012946,0.012889,0.012841
86,0.0,0.035498,0.034622,0.018233,0.013187,0.013402,0.0136,0.013106
87,0.0,0.036047,0.034878,0.010876,0.013183,0.013309,0.013314,0.013212
88,0.0,0.035455,0.035114,0.018071,0.013095,0.013514,0.013152,0.013206
89,0.0,0.034034,0.03346,0.0176,0.012825,0.013038,0.012791,0.012528
90,0.0,0.034837,0.03425,0.010622,0.013127,0.01359,0.013287,0.01413
91,0.0,0.035002,0.034457,0.017538,0.01309,0.013285,0.013128,0.013195
92,0.0,0.03391,0.03379,0.010392,0.012976,0.013128,0.012998,0.012807
93,0.0,0.034895,0.034744,0.017834,0.013259,0.013673,0.013316,0.013426
94,0.0,0.0358,0.03424,0.017918,0.013157,0.013539,0.013543,0.013229
95,0.0,0.035342,0.034337,0.017993,0.013349,0.013579,0.013577,0.013543
96,0.0,0.035518,0.034408,0.018001,0.013442,0.013688,0.013563,0.013643
97,0.0,0.033937,0.033347,0.017644,0.012968,0.01319,0.013363,0.01322
98,0.0,0.035267,0.03408,0.017953,0.013217,0.013529,0.013409,0.013532
99,0.0,0.03472,0.033589,0.010291,0.013153,0.013496,0.013321,0.013014
100,0.0,0.035239,0.033896,0.017791,0.013552,0.013544,0.013386,0.013101
101,0.0,0.035657,0.034838,0.017879,0.013747,0.013647,0.013798,0.013321
102,0.0,0.035195,0.033674,0.01042,0.013511,0.013428,0.013382,0.013269
103,0.0,0.034494,0.033546,0.010434,0.013398,0.01354,0.013707,0.01321
104,0.0,0.035329,0.034151,0.017797,0.01337,0.013675,0.013986,0.013203
105,0.0,0.035478,0.034861,0.010483,0.013537,0.013618,0.013704,0.013673
106,0.0,0.034492,0.03414,0.010328,0.013379,0.013696,0.013567,0.013506
107,0.0,0.035884,0.034515,0.010774,0.013975,0.013849,0.013849,0.014538
108,0.0,0.034518,0.034383,0.017629,0.013481,0.013737,0.013726,0.013608
109,0.0,0.035322,0.034945,0.018197,0.013927,0.014067,0.014136,0.014061
110,0.0,0.03505,0.034464,0.017868,0.013825,0.013762,0.013953,0.013678
111,0.0,0.033934,0.033342,0.01757,0.013283,0.013423,0.013731,0.013517
112,0.0,0.035056,0.03472,0.017796,0.013684,0.013868,0.013733,0.013816
113,0.0,0.035465,0.034786,0.017989,0.014145,0.01426,0.014021,0.014141
114,0.0,0.034544,0.034486,0.017899,0.013644,0.013711,0.013607,0.01376
115,0.0,0.034111,0.032935,0.017582,0.013653,0.013816,0.01351,0.013627
116,0.0,0.034329,0.034804,0.017644,0.013919,0.013951,0.01421,0.014041
117,0.0,0.035512,0.034681,0.017926,0.014123,0.014004,0.013992,0.014277
118,0.0,0.03396,0.033806,0.017726,0.013609,0.013583,0.013654,0.013763
119,0.0,0.034796,0.034068,0.017852,0.01395,0.013916,0.014041,0.014021
120,0.0,0.035235,0.033819,0.017788,0.013876,0.014084,0.014088,0.014102
121,0.0,0.035175,0.034971,0.010599,0.014278,0.01416,0.014016,0.014097
122,0.0,0.034247,0.034326,0.010319,0.013814,0.014094,0.01401,0.013958
123,0.0,0.034097,0.032843,0.01064,0.013676,0.013932,0.013781,0.013906
124,0.0,0.035144,0.034777,0.010656,0.014302,0.01428,0.014138,0.014245
125,0.0,0.034706,0.034303,0.01063,0.018753,0.019377,0.018942,0.015601
126,0.0,0.034887,0.03381,0.017565,0.013945,0.014008,0.013781,0.013992
127,0.0,0.034298,0.034486,0.012272,0.014021,0.014261,0.01428,0.014054
128,0.0,0.035427,0.035131,0.017994,0.014472,0.014562,0.014431,0.014457
129,0.0,0.035281,0.035275,0.01815,0.014489,0.014646,0.014359,0.014496
130,0.0,0.035433,0.034777,0.018001,0.014422,0.01471,0.014323,0.014466
131,0.0,0.035055,0.034819,0.018069,0.014502,0.014535,0.014507,0.01459
132,0.0,0.034757,0.034519,0.017924,0.014408,0.014475,0.014203,0.01447
133,0.0,0.033986,0.034391,0.017656,0.014373,0.014315,0.014353,0.01425
134,0.0,0.035248,0.034247,0.017609,0.014425,0.01434,0.014102,0.014276
135,0.0,0.034869,0.035182,0.018187,0.01446,0.014442,0.014377,0.014488
136,0.0,0.03471,0.034763,0.01791,0.014278,0.014336,0.014523,0.014454
137,0.0,0.035873,0.033876,0.010434,0.014378,0.014432,0.01432,0.014359
138,0.0,0.035108,0.034544,0.010602,0.014298,0.014488,0.014323,0.014475
139,0.0,0.034369,0.034658,0.010576,0.014616,0.014581,0.014386,0.014604
140,0.0,0.033415,0.033322,0.010301,0.014125,0.014253,0.014138,0.014202
141,0.0,0.033576,0.032932,0.010177,0.014497,0.014274,0.014011,0.014274
142,0.0,0.034183,0.03366,0.017636,0.014339,0.014406,0.014876,0.014649
143,0.0,0.03409,0.033773,0.017449,0.014314,0.014493,0.014464,0.014557
144,0.0,0.035089,0.034615,0.015431,0.014802,0.014704,0.014419,0.014712
145,0.0,0.035415,0.034771,0.018311,0.014789,0.014855,0.014734,0.015172
146,0.0,0.035138,0.034765,0.018167,0.014661,0.014785,0.014789,0.019323
147,0.0,0.034543,0.03456,0.018009,0.014759,0.014822,0.014703,0.014988
148,0.0,0.035619,0.034789,0.018049,0.014817,0.015034,0.014809,0.01504
149,0.0,0.036648,0.03517,0.018199,0.014911,0.015236,0.015103,0.015008
150,0.0,0.034866,0.034047,0.017834,0.014703,0.014838,0.014848,0.014883
151,0.0,0.034972,0.034702,0.017957,0.014758,0.014853,0.015154,0.014895
152,0.0,0.035536,0.034701,0.018177,0.01518,0.01521,0.015122,0.015191
153,0.0,0.034892,0.035213,0.018255,0.014822,0.01473,0.01479,0.014923
154,0.0,0.033899,0.033937,0.010386,0.014343,0.014581,0.014528,0.015466
