instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,0.0,0.001582,0.001601,0.003819,0.003762,0.003802
1,0.0,0.042541,0.029694,0.000193,0.000186,0.000185
2,0.0,0.03027,0.026323,0.000222,0.000213,0.000209
3,0.0,0.030456,0.026391,0.000245,0.000248,0.000251
4,0.0,0.030894,0.025724,0.000283,0.000291,0.000268
5,0.0,0.030346,0.027224,0.000302,0.000297,0.000288
6,0.0,0.029747,0.03758,0.000342,0.000336,0.000327
7,0.0,0.030423,0.0381,0.000349,0.00036,0.000339
8,0.0,0.029965,0.026609,0.000392,0.00038,0.000365
9,0.0,0.029976,0.02715,0.000403,0.000419,0.000399
10,0.0,0.030113,0.027394,0.000419,0.000433,0.000447
11,0.0,0.030767,0.027143,0.000456,0.000451,0.000446
12,0.0,0.030396,0.027189,0.000486,0.000496,0.000495
13,0.0,0.030402,0.026957,0.000496,0.000507,0.000509
14,0.0,0.030478,0.027313,0.000531,0.000531,0.000519
15,0.0,0.030976,0.027067,0.000555,0.000567,0.00056
16,0.0,0.030626,0.027788,0.000579,0.000599,0.000571
17,0.0,0.031485,0.027513,0.000599,0.000631,0.000594
18,0.0,0.031751,0.027606,0.000627,0.00065,0.000615
19,0.0,0.031528,0.027489,0.000655,0.000676,0.000656
20,0.0,0.031852,0.027826,0.000679,0.000706,0.000685
21,0.0,0.031622,0.027945,0.000707,0.000722,0.000708
22,0.0,0.031455,0.02814,0.000726,0.000765,0.000742
23,0.0,0.031452,0.028083,0.000748,0.000785,0.000755
24,0.0,0.03128,0.027939,0.00079,0.000824,0.00079
25,0.0,0.032076,0.027851,0.000821,0.000834,0.000816
26,0.0,0.031623,0.028255,0.000839,0.000852,0.000854
27,0.0,0.032446,0.028231,0.000878,0.00088,0.000861
28,0.0,0.031599,0.02819,0.000888,0.000895,0.000871
29,0.0,0.032614,0.028928,0.000904,0.000922,0.000905
30,0.0,0.032435,0.028367,0.000936,0.000975,0.000931
31,0.0,0.032579,0.028903,0.000945,0.00099,0.000978
32,0.0,0.032621,0.028789,0.001006,0.001011,0.000966
33,0.0,0.032198,0.028918,0.001003,0.001025,0.000995
34,0.0,0.032065,0.02916,0.001036,0.001063,0.001047
35,0.0,0.032292,0.029044,0.001062,0.001107,0.001051
36,0.0,0.032967,0.029084,0.001083,0.001114,0.001089
37,0.0,0.033101,0.029098,0.001125,0.001156,0.001111
38,0.0,0.033263,0.029238,0.001132,0.001183,0.001113
39,0.0,0.033134,0.02932,0.001157,0.001187,0.001137
40,0.0,0.032628,0.029052,0.00117,0.001232,0.001186
41,0.0,0.03331,0.029356,0.00121,0.001263,0.001194
42,0.0,0.032925,0.02932,0.001239,0.001268,0.001242
43,0.0,0.032934,0.029933,0.00126,0.001345,0.001248
44,0.0,0.033706,0.029498,0.001284,0.001327,0.001277
45,0.0,0.033532,0.029941,0.001312,0.001345,0.001288
46,0.0,0.033204,0.029966,0.001337,0.001405,0.0013
47,0.0,0.033217,0.029824,0.001335,0.001425,0.001322
48,0.0,0.033178,0.029911,0.0014,0.001456,0.001386
49,0.0,0.033268,0.030047,0.001386,0.001483,0.00143
50,0.0,0.033314,0.030069,0.001403,0.001527,0.001419
51,0.0,0.033864,0.030152,0.001431,0.001527,0.001438
52,0.0,0.033495,0.030478,0.001499,0.001531,0.001426
53,0.0,0.033813,0.030067,0.001479,0.001566,0.001443
54,0.0,0.034352,0.030474,0.001522,0.001589,0.001578
55,0.0,0.03392,0.030695,0.001567,0.001628,0.001522
56,0.0,0.03461,0.030825,0.001536,0.001642,0.001531
57,0.0,0.034879,0.030959,0.00163,0.00166,0.001591
58,0.0,0.034225,0.030733,0.001568,0.001639,0.001599
59,0.0,0.034807,0.030879,0.001529,0.001648,0.001625
60,0.0,0.034863,0.031123,0.001592,0.001645,0.001615
61,0.0,0.034837,0.03081,0.001569,0.001762,0.001741
62,0.0,0.034286,0.031294,0.001609,0.001822,0.001718
63,0.0,0.034945,0.031549,0.001611,0.001797,0.001713
64,0.0,0.034469,0.03136,0.001769,0.00184,0.001703
65,0.0,0.034528,0.03125,0.001689,0.001867,0.001742
66,0.0,0.035255,0.031464,0.001719,0.001875,0.001817
67,0.0,0.034868,0.031544,0.001754,0.001934,0.001828
68,0.0,0.034946,0.031637,0.001751,0.001942,0.001822
69,0.0,0.035672,0.03179,0.001815,0.001947,0.001905
70,0.0,0.034831,0.031998,0.001912,0.001988,0.001919
71,0.0,0.03512,0.031631,0.001937,0.002031,0.001958
72,0.0,0.035032,0.032211,0.001951,0.00206,0.001945
73,0.0,0.035166,0.031911,0.002023,0.002088,0.00194
74,0.0,0.036107,0.032467,0.002025,0.002101,0.00194
75,0.0,0.035952,0.032384,0.002057,0.002121,0.001958
76,0.0,0.035413,0.032428,0.002024,0.002151,0.002068
77,0.0,0.036251,0.032333,0.002074,0.002182,0.002014
78,0.0,0.035547,0.032482,0.002266,0.002193,0.002039
79,0.0,0.036343,0.032859,0.002128,0.002249,0.002044
80,0.0,0.036321,0.032588,0.002154,0.002267,0.002088
81,0.0,0.035913,0.032662,0.00219,0.002274,0.00221
82,0.0,0.036523,0.032585,0.002217,0.002364,0.002144
83,0.0,0.036743,0.033566,0.002214,0.002332,0.00217
84,0.0,0.03752,0.033081,0.002288,0.002396,0.002185
85,0.0,0.03671,0.033115,0.002323,0.002417,0.002219
86,0.0,0.036355,0.033014,0.002336,0.002389,0.002219
87,0.0,0.036365,0.033425,0.002315,0.002479,0.002261
88,0.0,0.036372,0.033259,0.002356,0.002478,0.002248
89,0.0,0.036344,0.033035,0.002438,0.002463,0.002321
90,0.0,0.036911,0.033346,0.002394,0.00251,0.002311
91,0.0,0.036664,0.033281,0.002417,0.002524,0.002429
92,0.0,0.036677,0.034175,0.002417,0.002562,0.002493
93,0.0,0.036871,0.033387,0.002475,0.002589,0.002475
94,0.0,0.036937,0.033994,0.002523,0.002604,0.002461
95,0.0,0.037102,0.033819,0.002523,0.002604,0.002442
96,0.0,0.037062,0.033745,0.002614,0.002703,0.00246
97,0.0,0.037084,0.034093,0.002609,0.002666,0.002584
98,0.0,0.036944,0.034062,0.002565,0.002716,0.002506
99,0.0,0.037142,0.034697,0.002627,0.002741,0.002645
