instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,55.19,72.48726,67.456454,232.209,234.554,233.502
1,55.21,72.193742,0.219957,155.379,298.244,47.8435
2,55.22,72.33887,0.219033,0.721421,298.368,0.718777
3,55.22,72.235713,0.218047,0.714044,299.136,0.713811
4,55.2,72.139181,0.219478,0.716336,298.503,0.720192
5,55.25,72.120476,0.287854,0.731797,298.481,0.734603
6,55.5,72.452062,0.288686,0.727155,298.107,0.72734
7,55.22,72.160798,0.218659,0.732382,298.628,0.733458
8,55.32,72.509515,0.218644,0.737846,298.584,0.738886
9,55.75,72.280077,0.217779,0.751235,298.258,0.758062
10,55.43,72.172041,0.217347,0.758154,297.893,0.761428
11,55.13,72.432555,0.217272,0.765864,297.853,0.770763
12,55.15,72.256448,0.217424,0.768011,301.443,0.770836
13,54.99,72.488223,0.220804,0.775755,298.503,0.779122
14,55.1,72.224006,0.217076,0.773161,298.196,0.780611
15,55.39,72.272693,0.219579,0.781982,298.531,0.789017
16,55.1,72.948566,0.218395,0.779864,300.01,0.79103
17,55.21,72.213151,0.218935,0.789841,297.949,0.79179
18,55.35,72.336966,0.218502,0.793634,302.784,0.806256
19,55.08,72.132795,0.217982,0.799284,298.347,0.807043
20,55.11,73.043801,0.217882,0.80731,299.654,0.810063
21,55.16,72.216208,0.218946,0.811463,298.91,0.817021
22,55.33,72.237537,0.217469,0.819456,298.51,0.819823
23,55.79,72.341023,0.217527,0.819239,298.97,0.828986
24,55.27,72.454625,0.216854,0.827188,298.599,0.835898
25,55.36,72.193341,0.217988,0.837463,298.67,0.839869
26,55.05,72.350258,0.216602,0.841974,299.121,0.839043
27,55.17,72.399804,0.21677,0.842135,299.007,0.84965
28,55.33,72.208598,0.218438,0.853353,298.759,0.853424
29,55.26,72.119921,0.217386,0.858296,298.524,0.856773
30,55.42,72.031901,0.217855,0.86232,298.445,0.865302
31,55.06,72.091183,0.217618,0.868604,298.386,0.871779
32,55.17,72.748585,0.217453,0.875406,298.522,0.878068
33,55.23,72.27422,0.217982,0.882863,299.409,0.877269
34,55.22,72.17655,0.217772,0.886424,298.884,0.88456
35,55.86,72.868057,0.217363,0.891165,300.922,0.89335
36,55.31,72.369435,0.217319,0.89936,298.725,0.905141
37,55.71,72.229158,0.219763,0.90221,298.597,0.900012
38,55.62,72.245011,0.218463,0.914251,299.431,0.908106
39,55.67,72.340601,0.21839,0.914683,298.949,0.916998
40,55.51,72.404298,0.220082,0.924609,299.125,0.92384
41,55.27,72.156644,0.21734,0.92586,299.375,0.924856
42,54.98,72.206553,0.218105,0.933513,298.546,0.929716
43,55.61,72.509312,0.217701,0.93842,299.967,0.940878
44,55.25,72.07987,0.217702,0.944103,299.49,0.944593
45,55.16,72.322364,0.219577,0.947887,299.309,0.949492
46,55.2,72.1695,0.218687,0.953382,299.32,0.947641
47,55.28,72.062844,0.217363,0.961501,299.742,0.960274
48,55.53,72.189352,0.217818,0.964413,298.953,0.963237
49,55.16,73.304012,0.21749,0.977493,299.445,0.976652
50,55.28,72.250979,0.217672,0.980194,299.741,0.978131
51,55.44,72.079119,0.218457,0.987281,299.05,0.984463
52,55.6,72.213214,0.217674,0.991875,301.531,0.986517
53,55.52,72.241979,0.21728,0.996947,299.824,0.992825
54,55.67,72.228549,0.217734,1.00113,299.343,1.0024
55,55.44,72.830826,0.218473,1.00411,300.964,1.00335
56,55.07,72.235717,0.217316,1.00892,299.255,1.01757
57,55.25,72.643052,0.217066,1.01573,297.626,1.01831
58,55.09,72.291059,0.218329,1.0239,295.798,1.02
59,55.36,72.103351,0.21744,1.03633,296.164,1.02631
60,55.19,72.630273,0.219002,1.03736,297.929,1.03415
61,55.28,72.518819,0.218862,1.04095,299.481,1.03666
62,55.3,72.264246,0.217702,1.04738,299.424,1.0434
63,55.05,72.123362,0.220093,1.06553,299.555,1.05883
64,55.1,72.183414,0.21711,1.05942,299.929,1.05792
65,55.18,72.59196,0.219203,1.06372,299.093,1.06
66,55.59,72.244522,0.217283,1.07383,299.804,1.06971
67,55.58,72.203712,0.216581,1.07653,299.419,1.07574
68,55.97,72.252275,0.21853,1.08282,299.436,1.08095
69,55.59,72.537566,0.2185,1.08807,299.511,1.08493
70,55.63,72.286842,0.219173,1.09399,299.328,1.09133
