instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,56.039,73.060685,68.04686,233.607,235.757,234.685
1,56.061,72.828252,1.293796,155.776,298.616,48.2191
2,56.089,72.940247,1.292983,1.04511,298.667,1.023
3,56.065,72.834069,1.299444,1.03399,299.436,1.01279
4,56.038,72.750257,1.290177,1.03675,298.804,1.02036
5,56.099,72.723194,1.384681,1.0565,298.787,1.0394
6,56.332,73.060863,1.390383,1.04909,298.404,1.02943
7,56.066,72.763922,1.300242,1.05485,298.932,1.03762
8,56.167,73.112994,1.280957,1.06348,298.891,1.04304
9,56.593,72.89332,1.292001,1.08623,298.567,1.07121
10,56.27,72.779072,1.290087,1.09116,298.198,1.0763
11,55.976,73.046622,1.286747,1.10078,298.158,1.08581
12,55.994,72.866312,1.287431,1.1035,301.753,1.08857
13,55.827,73.092753,1.2897,1.11283,298.81,1.0974
14,55.928,72.831791,1.286357,1.10439,298.504,1.09394
15,56.225,72.873937,1.290383,1.11702,298.841,1.11582
16,55.943,73.569114,1.293612,1.11316,300.321,1.10815
17,56.051,72.830609,1.293022,1.12692,298.267,1.10972
18,56.183,72.942679,1.292474,1.12965,303.101,1.12431
19,55.913,72.74136,1.286018,1.13938,298.665,1.12659
20,55.944,73.652786,1.294529,1.14645,299.97,1.13085
21,56.014,72.82366,1.299502,1.15303,299.224,1.14031
22,56.161,72.844935,1.296476,1.16384,298.825,1.1444
23,56.643,72.949362,1.289561,1.16348,299.287,1.15268
24,56.106,73.065603,1.287108,1.17209,298.92,1.16301
25,56.199,72.806687,1.299665,1.18726,298.989,1.1704
26,55.889,72.954295,1.290257,1.19027,299.442,1.17009
27,56.004,73.007646,1.286672,1.19146,299.327,1.18138
28,56.169,72.816443,1.288791,1.2073,299.083,1.18794
29,56.095,72.727588,1.295331,1.21066,298.849,1.19097
30,56.259,72.641191,1.297848,1.21815,298.769,1.20189
31,55.901,72.697936,1.294837,1.22411,298.712,1.20753
32,56.017,73.353964,1.293053,1.23299,298.848,1.22092
33,56.067,72.87963,1.296838,1.24301,299.735,1.2184
34,56.076,72.781991,1.292915,1.2469,299.21,1.22733
35,56.694,73.475162,1.317369,1.25332,301.252,1.2372
36,56.173,72.973947,1.294767,1.26404,299.052,1.25061
37,56.554,72.837589,1.300848,1.26868,298.926,1.24609
38,56.473,72.848925,1.298852,1.27908,299.763,1.25355
39,56.531,72.948374,1.295684,1.28299,299.285,1.26606
40,56.36,73.011781,1.30437,1.29526,299.457,1.27334
41,56.107,72.762597,1.299829,1.30175,299.713,1.27842
42,55.839,72.813912,1.298294,1.30553,298.885,1.28906
43,56.451,73.121241,1.300589,1.31402,300.303,1.29694
44,56.104,72.69413,1.301193,1.32198,299.83,1.32292
45,55.997,72.927049,1.295434,1.32545,299.647,1.3183
46,56.043,72.78284,1.300775,1.33387,299.661,1.31438
47,56.125,72.670669,1.298669,1.34259,300.083,1.3217
48,56.372,72.796051,1.302495,1.34567,299.297,1.32404
49,55.996,73.911962,1.297708,1.36207,299.786,1.34758
50,56.126,72.863837,1.294129,1.37984,300.084,1.34474
51,56.289,72.703149,1.299934,1.39063,299.394,1.35228
52,56.448,72.824151,1.306937,1.39885,301.88,1.35319
53,56.365,72.849562,1.299343,1.40064,300.169,1.36112
54,56.511,72.836561,1.302112,1.41083,299.691,1.37217
55,56.276,73.438483,1.302755,1.39593,301.313,1.38165
56,55.907,72.851974,1.303707,1.41009,299.604,1.39048
57,56.097,73.250098,1.301577,1.40948,297.978,1.3931
58,55.938,72.898367,1.302796,1.42029,296.147,1.40489
59,56.215,72.719201,1.302897,1.44282,296.511,1.40443
60,56.037,73.245597,1.301159,1.44566,298.281,1.41259
61,56.118,73.124804,1.305031,1.44112,299.836,1.4254
62,56.141,72.868689,1.304176,1.45047,299.777,1.42531
63,55.901,72.736504,1.313215,1.46855,299.909,1.44036
64,55.937,72.792107,1.313164,1.47715,300.301,1.44782
65,56.018,73.203826,1.305246,1.48339,299.48,1.45999
66,56.453,72.855909,1.3026,1.50392,300.188,1.4611
67,56.43,72.809995,1.305538,1.49639,299.805,1.47568
68,56.828,72.86471,1.304726,1.50583,299.823,1.47443
69,56.44,73.146028,1.307763,1.50595,299.9,1.48512
70,56.481,72.899388,1.307867,1.50915,299.718,1.48891
71,56.427,73.520631,1.311868,1.52914,300.174,1.49273
