instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,409.411,457.996888,797.616304,1526.04,1523.06,1525.47
1,408.564,459.006693,5.441825,1575.1,1600.87,322.038
2,408.366,462.833941,5.404419,5.1501,1590.73,4.99624
3,409.378,458.384243,5.515203,5.11925,1590.92,4.95223
4,408.793,456.598622,5.409463,5.12806,1593.93,4.96952
5,407.264,455.288498,5.490865,5.16085,1597.5,4.99326
6,408.553,457.418157,5.448761,5.14951,1589.71,5.02822
7,408.104,458.893195,5.443458,5.1989,1593.23,5.04564
8,408.435,455.450361,5.441077,5.21455,1592.67,5.05054
9,408.812,455.389928,5.437695,5.23271,1614.65,5.10997
10,409.403,460.271528,5.430007,5.2362,1594.57,5.12621
11,408.668,456.801543,5.434534,5.27934,1598.5,5.16359
12,408.614,458.481845,5.411647,5.32763,1594.05,5.19509
13,408.39,459.593425,5.438958,5.35685,1599.27,5.2322
14,409.422,456.713245,5.412894,5.35705,1592.24,5.23984
15,408.583,455.400711,5.436038,5.42305,1599.7,5.29727
16,407.728,456.428796,5.449972,5.42866,1594.19,5.33281
17,407.981,454.962819,5.418831,5.45946,1596.53,5.30989
18,407.798,455.302184,5.420567,5.48558,1595.45,5.34785
19,411.106,455.584686,5.417169,5.528,1597.7,5.36281
20,409.201,455.571618,5.423289,5.55383,1598.46,5.38855
21,408.22,455.65065,5.470951,5.5405,1601.6,5.41058
22,408.459,456.002345,5.43116,5.5871,1592.84,5.43203
23,407.962,455.222693,5.43935,5.60685,1597.95,5.48306
24,407.59,455.472128,5.452009,5.64829,1594.58,5.52585
25,407.885,455.98104,5.449287,5.68819,1602.29,5.55898
26,409.182,456.926134,5.484613,5.69339,1597.48,5.55843
27,407.598,459.449128,5.43826,5.72957,1595.47,5.57322
28,408.711,457.031839,5.51838,5.76914,1597.84,5.60463
29,407.428,455.539166,5.442502,5.773,1598.61,5.64614
30,409.571,456.221215,5.443377,5.79213,1597.44,5.6584
31,408.386,456.311375,5.455422,5.81634,1595.41,5.69864
32,408.44,456.443591,5.440369,5.85732,1591.73,5.73985
33,407.841,456.204337,5.449342,5.87738,1597.72,5.77106
34,407.55,457.128123,5.466579,5.89674,1597.42,5.7858
35,409.045,456.230599,5.446082,5.94272,1598.49,5.82137
36,408.085,455.892034,5.454792,5.96329,1594.98,5.86154
37,414.636,455.562339,5.451008,5.98556,1597.62,5.86506
38,408.474,456.467078,5.453658,6.07054,1593.12,5.95394
39,409.914,456.331626,5.444361,6.07233,1596.6,6.02298
40,409.43,455.95848,5.452155,6.102,1595.37,5.98796
41,408.786,456.330094,5.468218,6.12362,1600.68,6.03911
42,408.14,455.205122,5.465054,6.13553,1594.97,6.04201
43,409.801,456.360733,5.447505,6.1536,1600.41,6.05902
44,410.212,455.954741,5.474356,6.20489,1602.18,6.05825
45,412.312,458.149226,5.45846,6.21046,1597.9,6.10192
46,409.746,455.75266,5.456847,6.24235,1591.95,6.12602
47,408.323,456.780644,5.455786,6.27323,1601.32,6.17642
48,410.022,458.837347,5.457774,6.30522,1593.82,6.26163
49,412.149,455.825056,5.448698,6.34673,1605.12,6.23383
50,412.663,455.025985,5.457473,6.38413,1598.12,6.29774
51,408.031,455.263614,5.455918,6.41789,1600.15,6.31447
52,408.682,455.112162,5.452159,6.41565,1601.08,6.32637
53,408.574,455.587426,5.453295,6.42992,1598.71,6.3514
54,408.822,456.105678,5.459886,6.44741,1597.06,6.38952
55,408.186,457.515205,5.443018,6.47485,1598.18,6.44482
56,407.542,455.649895,5.467429,6.51915,1595.03,6.41651
57,407.939,457.47735,5.465638,6.53922,1607.76,6.50926
58,408.589,455.831357,5.481484,6.5731,1596.3,6.49776
59,410.098,456.101447,5.459597,6.59153,1598.35,6.53019
60,408.927,456.08346,5.447765,6.65873,1594.99,6.58273
61,407.583,455.634185,5.482147,6.70128,1601.02,6.61772
62,408.092,455.831581,5.479742,6.74077,1606.68,6.62531
63,411.576,457.867439,5.465868,6.75334,1598.9,6.67094
64,408.128,455.755331,5.459092,6.75449,1597.65,6.64072
65,411.571,455.830534,5.464363,6.79904,1601.5,6.71453
66,410.145,455.412996,5.491358,6.87455,1596.84,6.72055
67,408.971,455.540868,5.496318,6.93135,1599.19,6.75215
68,410.546,455.535925,5.478492,6.89451,1593.92,6.8181
69,408.597,456.904124,5.468886,6.90889,1596.02,6.81382
70,410.27,457.191988,5.513534,6.93827,1595.84,6.84471
71,408.462,456.677343,5.500047,6.96954,1602.55,6.87215
72,409.273,455.366076,5.48836,6.97446,1594.87,6.88294
73,408.515,457.143448,5.483743,7.00122,1617.54,6.91057
74,408.661,456.379121,5.489316,7.02129,1599.05,6.93486
75,414.667,455.924144,5.493251,7.04219,1609.16,7.04253
76,408.792,455.498347,5.486737,7.08414,1606.39,7.01375
77,410.046,455.819526,5.528252,7.11895,1608.01,7.01847
78,409.664,455.636179,5.503211,7.16592,1611.54,7.09894
79,408.17,456.123685,5.481945,7.20447,1613.48,7.11443
80,408.249,456.161985,5.489923,7.16266,1601.82,7.09736
81,408.379,455.927663,5.488245,7.21044,1606.07,7.21324
82,408.723,456.667833,5.491642,7.2308,1612.95,7.17218
83,408.361,457.148007,5.486857,7.23621,1613.17,7.21308
84,409.167,456.674495,5.495131,7.2751,1612.14,7.17807
85,408.792,455.79228,5.492344,7.30501,1616.86,7.21535
86,410.882,455.585076,5.498664,7.34612,1614.79,7.25459
87,415.237,455.756198,5.501361,7.40077,1619.0,7.264
88,412.814,457.425001,5.518442,7.48164,1610.11,7.27924
89,412.212,457.587182,5.488172,7.46648,1598.72,7.30189
90,413.712,456.351387,5.481436,7.52753,1595.37,7.33224
91,408.403,456.071428,5.495484,7.49279,1601.53,7.32038
92,407.876,456.060067,5.485237,7.48549,1601.28,7.39889
93,407.345,456.394772,5.51141,7.5092,1602.22,7.49781
94,409.8,455.583619,5.522063,7.5892,1600.04,7.54947
95,415.834,455.915091,5.50006,7.61809,1599.05,7.59655
