instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,3.670999999999992,2.401973,2.450725,7.03813,7.04377,7.20763
1,3.7240000000000464,2.60067,4.334043,2.08026,2.05625,2.11887
2,3.675999999999988,2.468059,4.310103,1.27898,1.21186,1.25632
3,3.717999999999961,2.483709,4.419281,1.26901,1.21581,1.24891
4,3.6829999999999927,2.683134,4.31732,1.27835,1.22082,1.2691
5,3.684000000000026,2.461129,4.394145,1.28113,1.22073,1.27265
6,3.7029999999999745,2.434031,4.353266,1.28326,1.22032,1.27555
7,3.673999999999978,2.439573,4.347042,1.30365,1.23519,1.28849
8,3.714999999999975,2.429735,4.344908,1.29771,1.29589,1.28208
9,3.651999999999987,2.451277,4.339706,1.29648,1.24551,1.299
10,3.65300000000002,2.472138,4.334981,1.29573,1.25105,1.30512
11,3.6779999999999977,2.467223,4.336285,1.29942,1.2557,1.31536
12,3.673999999999978,2.435773,4.317832,1.30677,1.2549,1.31587
13,3.7199999999999704,2.480634,4.342702,1.33306,1.27116,1.33463
14,3.6620000000000346,2.468434,4.317548,1.31441,1.25698,1.32235
15,3.633000000000038,2.443282,4.339059,1.34919,1.2596,1.34607
16,3.658000000000015,2.449168,4.351689,1.34497,1.28407,1.35573
17,3.6510000000000105,2.447862,4.318783,1.35527,1.29331,1.32896
18,3.6779999999999977,2.447091,4.321301,1.35874,1.29351,1.3419
19,3.665999999999997,2.444426,4.315784,1.36828,1.29344,1.33073
20,3.661000000000002,2.471786,4.321334,1.37463,1.30912,1.33872
21,3.680000000000007,2.488902,4.369125,1.34685,1.30422,1.34183
22,3.699000000000012,2.485289,4.329757,1.35528,1.30676,1.33977
23,3.6719999999999686,2.437449,4.341645,1.37602,1.33005,1.3738
24,3.67999999999995,2.437422,4.356673,1.39135,1.29763,1.39524
25,3.644999999999982,2.462348,4.347914,1.39473,1.32172,1.4083
26,3.6920000000000073,2.439545,4.380143,1.38997,1.32029,1.37842
27,3.6779999999999977,2.490256,4.336094,1.39199,1.32525,1.37986
28,3.670999999999992,2.473654,4.374985,1.40311,1.32304,1.38645
29,3.6779999999999977,2.47023,4.34064,1.41041,1.32414,1.40041
30,3.671000000000049,2.447298,4.343169,1.41141,1.33667,1.40356
31,3.665999999999997,2.448513,4.353925,1.41597,1.33695,1.40706
32,3.680000000000007,2.452316,4.339679,1.42842,1.33413,1.42401
33,3.661000000000002,2.452338,4.345384,1.43241,1.34075,1.43855
34,3.660000000000025,2.454854,4.368526,1.42816,1.34027,1.43145
35,3.6750000000000114,2.428689,4.349536,1.43917,1.34573,1.43853
36,3.6549999999999727,2.453264,4.358973,1.44155,1.35882,1.44127
37,3.6960000000000264,2.488177,4.353125,1.4409,1.35692,1.44527
38,3.683999999999969,2.433341,4.356163,1.49458,1.38221,1.48431
39,3.653999999999997,2.434329,4.348314,1.49048,1.35445,1.52059
40,3.6999999999999886,2.43676,4.35778,1.48339,1.35544,1.49161
41,3.685999999999978,2.459666,4.37357,1.48556,1.36017,1.50756
42,3.709999999999979,2.441223,4.363965,1.48581,1.36585,1.50874
43,3.680999999999983,2.450449,4.347486,1.47447,1.36487,1.50133
44,3.711999999999989,2.440256,4.374356,1.5043,1.36923,1.49794
45,3.722000000000037,2.559313,4.363672,1.50787,1.36873,1.50863
46,3.805999999999983,2.46009,4.360734,1.51963,1.37433,1.51233
47,3.7129999999999654,2.452447,4.356809,1.53275,1.37508,1.52136
48,3.6719999999999686,2.449128,4.362138,1.52911,1.38783,1.56182
49,3.738999999999976,2.493243,4.352539,1.53915,1.392,1.54645
50,3.6829999999999927,2.416544,4.364665,1.54963,1.38904,1.56993
51,3.691000000000031,2.438172,4.358372,1.55728,1.39108,1.56246
52,3.701999999999998,2.473632,4.353588,1.54847,1.39854,1.56481
53,3.713999999999998,2.460314,4.356851,1.52844,1.39933,1.57359
54,3.682000000000016,2.451504,4.361927,1.52836,1.40593,1.58448
55,3.675999999999988,2.438424,4.342463,1.53528,1.40494,1.59983
56,3.711999999999989,2.452224,4.366904,1.55733,1.41556,1.5799
57,3.789000000000044,2.461462,4.361845,1.55722,1.40437,1.62399
58,3.6689999999999823,2.450295,4.383188,1.57426,1.44133,1.60033
59,3.6779999999999977,2.456623,4.362341,1.56612,1.44144,1.60339
60,3.6970000000000023,2.45308,4.351741,1.58351,1.39698,1.60701
61,3.663000000000011,2.430918,4.380093,1.64253,1.44504,1.65913
62,3.6920000000000073,2.455826,4.379464,1.65439,1.48184,1.66058
63,3.665999999999997,2.459515,4.36279,1.66667,1.47036,1.68343
64,3.6680000000000064,2.443868,4.358347,1.64599,1.47613,1.64062
65,3.68100000000004,2.438217,4.36682,1.6622,1.47896,1.68372
66,3.6749999999999545,2.448592,4.382746,1.6983,1.49614,1.67866
67,3.701000000000022,2.454887,4.394116,1.70677,1.4892,1.68121
68,3.685999999999978,2.425901,4.379345,1.69108,1.46924,1.71179
69,3.726999999999975,2.480769,4.364544,1.69328,1.49071,1.71084
70,3.669999999999959,2.450801,4.411017,1.6862,1.49924,1.68925
71,3.682000000000016,2.455628,4.397579,1.71276,1.51026,1.70278
72,3.743000000000052,2.451488,4.386473,1.71089,1.51005,1.70169
