instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,0.0,0.001596,0.001616,0.003753,0.003826,0.002219
1,0.0,0.134385,0.133397,0.000168,0.000196,0.000191
2,0.0,0.214688,0.117512,0.000188,0.000219,0.000216
3,0.0,0.204511,0.120819,0.000242,0.000247,0.000241
4,0.0,0.206108,0.119401,0.000233,0.000289,0.000266
5,0.0,0.178284,0.118953,0.00026,0.000298,0.000291
6,0.0,0.1389,0.118253,0.000288,0.000327,0.000321
7,0.0,0.138693,0.119387,0.000305,0.000341,0.000338
8,0.0,0.135356,0.119642,0.000325,0.000422,0.00037
9,0.0,0.135949,0.118992,0.000351,0.000394,0.000395
10,0.0,0.13564,0.120087,0.000393,0.000427,0.000417
11,0.0,0.137109,0.119971,0.000422,0.000433,0.000438
12,0.0,0.137241,0.119102,0.00044,0.000485,0.000476
13,0.0,0.137471,0.119815,0.000457,0.00048,0.000498
14,0.0,0.136595,0.120472,0.000517,0.000535,0.000511
15,0.0,0.135598,0.120659,0.000503,0.000595,0.00056
16,0.0,0.137252,0.119657,0.000537,0.000595,0.000578
17,0.0,0.136997,0.119845,0.000576,0.000607,0.000601
18,0.0,0.136875,0.119446,0.000613,0.000645,0.00063
19,0.0,0.136535,0.120853,0.000633,0.000676,0.000629
20,0.0,0.13704,0.121181,0.000676,0.000722,0.000674
21,0.0,0.13733,0.120623,0.000698,0.000727,0.000689
22,0.0,0.137375,0.120645,0.000713,0.000764,0.00072
23,0.0,0.136608,0.120657,0.000752,0.000801,0.000771
24,0.0,0.137205,0.120113,0.000762,0.000819,0.000766
25,0.0,0.137441,0.120102,0.000813,0.000839,0.000813
26,0.0,0.137712,0.12233,0.000813,0.000857,0.000826
27,0.0,0.137787,0.121987,0.000833,0.000904,0.000828
28,0.0,0.139789,0.163381,0.000861,0.000925,0.00088
29,0.0,0.137033,0.120869,0.000895,0.000949,0.000883
30,0.0,0.137329,0.122078,0.000916,0.000981,0.000908
31,0.0,0.138467,0.122154,0.000929,0.000952,0.000947
32,0.0,0.137017,0.122103,0.000973,0.000979,0.000975
33,0.0,0.137801,0.12201,0.000989,0.000993,0.000993
34,0.0,0.13696,0.121129,0.00102,0.001074,0.001017
35,0.0,0.138484,0.121794,0.001046,0.001114,0.001046
36,0.0,0.138978,0.121226,0.00108,0.00114,0.001075
37,0.0,0.137541,0.121017,0.001094,0.001171,0.001088
38,0.0,0.138084,0.121614,0.001107,0.001193,0.001124
39,0.0,0.139562,0.121742,0.001154,0.001217,0.001149
40,0.0,0.139097,0.121494,0.001164,0.001244,0.001184
41,0.0,0.138551,0.120954,0.0012,0.001318,0.001271
42,0.0,0.138129,0.123349,0.001207,0.001307,0.001196
43,0.0,0.138464,0.122251,0.00123,0.001334,0.001266
44,0.0,0.139251,0.122007,0.001272,0.001357,0.001246
45,0.0,0.139029,0.121844,0.001289,0.001453,0.001322
