instance_number,clingo,clingo api,clingo api heu,incr heu,no remodel,no switch
0,405.74,455.593312,795.163957,1519.0,1516.01,1518.26
1,404.84,456.271606,0.97438,1572.93,1598.72,319.832
2,404.69,460.151178,0.976799,3.79144,1589.44,3.66558
3,405.66,455.696016,0.975099,3.77974,1589.63,3.63784
4,405.11,453.709374,0.972737,3.77881,1592.63,3.63379
5,403.58,452.64908,0.977762,3.81186,1596.2,3.65516
6,404.85,454.84522,0.977237,3.79923,1588.41,3.68761
7,404.43,456.314924,0.977024,3.82907,1591.92,3.69102
8,404.72,452.885265,0.976523,3.85103,1591.29,3.70391
9,405.16,452.802696,0.978993,3.87323,1613.32,3.74556
10,405.75,457.663744,0.974934,3.87793,1593.24,3.75583
11,404.99,454.197206,0.978274,3.91763,1597.16,3.78216
12,404.94,455.908825,0.974709,3.95541,1592.71,3.81355
13,404.67,456.975315,0.976437,3.95856,1597.92,3.83094
14,405.76,454.108211,0.97487,3.97999,1590.9,3.85557
15,404.95,452.821826,0.976316,4.00802,1598.36,3.88486
16,404.07,453.842371,0.978622,4.01849,1592.82,3.91054
17,404.33,452.377954,0.980199,4.0374,1595.15,3.91845
18,404.12,452.718213,0.979816,4.0609,1594.07,3.94295
19,407.44,453.00372,0.980527,4.0865,1596.32,3.97031
20,405.54,452.962787,0.980769,4.11245,1597.06,3.98838
21,404.54,453.024412,0.981199,4.13177,1600.22,4.00667
22,404.76,453.379675,0.980754,4.16983,1591.45,4.03062
23,404.29,452.648631,0.977044,4.1693,1596.53,4.0466
24,403.91,452.897495,0.975218,4.19536,1593.21,4.06794
25,404.24,453.381247,0.981266,4.2316,1600.89,4.08511
26,405.49,454.348871,0.982136,4.24104,1596.08,4.11801
27,403.92,456.82108,0.980174,4.27552,1594.06,4.13107
28,405.04,454.418391,0.98001,4.30345,1596.43,4.1564
29,403.75,452.931898,0.980989,4.29973,1597.2,4.18415
30,405.9,453.636583,0.978125,4.31859,1596.02,4.1928
31,404.72,453.72439,0.979339,4.33918,1593.99,4.22996
32,404.76,453.854253,0.978582,4.36672,1590.32,4.25396
33,404.18,453.614192,0.981944,4.38316,1596.29,4.27051
34,403.89,454.536303,0.97692,4.40685,1595.99,4.29245
35,405.37,453.663421,0.974747,4.44189,1597.06,4.32065
36,404.43,453.299787,0.974589,4.45998,1593.53,4.35822
37,410.94,452.936616,0.976862,4.48267,1596.18,4.35759
38,404.79,453.895649,0.975875,4.51372,1591.65,4.40759
39,406.26,453.75773,0.974301,4.51959,1595.17,4.43983
40,405.73,453.382617,0.972876,4.55881,1593.94,4.43418
41,405.1,453.731871,0.973685,4.57663,1599.24,4.46931
42,404.43,452.625764,0.977737,4.58821,1593.52,4.4709
43,406.12,453.771815,0.977764,4.61772,1598.97,4.49618
44,406.5,453.37523,0.977988,4.63916,1600.74,4.50098
45,408.59,455.450879,0.972941,4.64067,1596.46,4.53361
46,405.94,453.152781,0.97442,4.66274,1590.5,4.55422
47,404.61,454.187533,0.976768,4.68165,1599.86,4.59298
48,406.35,456.247615,0.973371,4.71767,1592.35,4.63754
49,408.41,453.191781,0.974305,4.74902,1603.64,4.62478
50,408.98,452.468119,0.971237,4.77293,1596.66,4.66518
51,404.34,452.684129,0.975753,4.79932,1598.68,4.68994
52,404.98,452.49773,0.976512,4.80841,1599.6,4.69968
53,404.86,452.98557,0.97368,4.84297,1597.23,4.71577
54,405.14,453.512066,0.976719,4.85811,1595.58,4.74354
55,404.51,454.935835,0.977875,4.8781,1596.69,4.78285
56,403.83,453.054663,0.977674,4.90108,1593.54,4.77496
57,404.15,454.875441,0.981163,4.92051,1606.28,4.82327
58,404.92,453.239832,0.975787,4.9381,1594.78,4.83543
59,406.42,453.505808,0.973781,4.96419,1596.83,4.86454
60,405.23,453.490398,0.973648,5.01344,1593.52,4.91295
61,403.92,453.063705,0.97965,5.00009,1599.5,4.89665
62,404.4,453.235606,0.977497,5.0274,1605.13,4.90209
63,407.91,455.267903,0.979878,5.02809,1597.35,4.92575
64,404.46,453.170173,0.9777,5.04939,1596.1,4.94099
65,407.89,453.250575,0.974772,5.07794,1599.95,4.9717
66,406.47,452.823249,0.984496,5.11429,1595.27,4.98339
67,405.27,452.944758,0.97774,5.16288,1597.62,5.0121
68,406.86,452.968766,0.975259,5.14109,1592.37,5.04438
69,404.87,454.281773,0.979979,5.15339,1594.45,5.04137
70,406.6,454.598693,0.97809,5.19319,1594.26,5.09649
71,404.78,454.079804,0.977521,5.1985,1600.97,5.11004
72,405.53,452.772691,0.977794,5.20466,1593.29,5.11903
73,404.79,454.553371,0.979069,5.22025,1615.96,5.1314
74,404.98,453.784795,0.985493,5.24244,1597.46,5.15362
75,410.9,453.340062,0.976593,5.2646,1607.55,5.22889
76,405.11,452.923619,0.979455,5.30771,1604.8,5.20383
77,406.33,453.231401,0.979897,5.3328,1606.4,5.219
78,405.97,453.037749,0.981438,5.35663,1609.92,5.26419
79,404.47,453.507318,0.978268,5.37438,1611.86,5.27705
80,404.58,453.593165,0.977129,5.38725,1600.21,5.2634
81,404.68,453.311231,0.984334,5.41153,1604.46,5.32994
82,405.05,454.105254,0.98329,5.41312,1611.33,5.33085
83,404.67,454.532222,0.98231,5.42391,1611.55,5.37106
84,405.4,454.112329,0.987329,5.44222,1610.51,5.3621
85,405.12,453.221858,0.984476,5.46922,1615.22,5.37883
86,407.16,453.001365,0.982019,5.51048,1613.12,5.40133
